task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-03-30T23:59:02,vjepa2,28afb0fc-7dd2-40bd-8756-d1514239e1cf,0.2819105498492718,1.4021535605850402e-07,4.977869289384857e-07,360.0,85.49946790119313,10.0,2.8144949115812778e-05,6.68500535283556e-06,7.816058583557605e-07,3.5611560327004097e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #1,2026-03-30T23:59:02,vjepa2,28afb0fc-7dd2-40bd-8756-d1514239e1cf,0.16847713477909565,8.48056597284693e-08,5.043649004405971e-07,360.0,106.06735781663171,10.0,1.6287268884480004e-05,4.799170504554695e-06,4.522989659259716e-07,2.1538738354960664e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #1,2026-03-30T23:59:02,vjepa2,28afb0fc-7dd2-40bd-8756-d1514239e1cf,0.1897901315242052,1.0110138916294305e-07,5.335908572340082e-07,360.0,116.78851595412921,10.0,1.8989319168031215e-05,6.160838267987856e-06,5.273312537206544e-07,2.567748868973972e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #2,2026-03-30T23:59:03,vjepa2,28afb0fc-7dd2-40bd-8756-d1514239e1cf,0.16598765179514885,9.425175609323779e-08,5.688529688163503e-07,360.0,138.40585432895733,10.0,1.6949945688247685e-05,6.517227440383522e-06,4.70662158396509e-07,2.393783528702772e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #2,2026-03-30T23:59:03,vjepa2,28afb0fc-7dd2-40bd-8756-d1514239e1cf,0.13227306306362152,9.436497880370558e-08,7.149602080339274e-07,360.0,296.7327705129533,10.0,1.294006295502186e-05,1.0667230753824697e-05,3.592976110263004e-07,2.3966591319872862e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #2,2026-03-30T23:59:03,vjepa2,28afb0fc-7dd2-40bd-8756-d1514239e1cf,0.13762757740914822,7.214661060507429e-08,5.25425112313515e-07,360.0,111.85280222001207,10.0,1.3689607195556161e-05,4.253892292638284e-06,3.8012388783196625e-07,1.8323623376026438e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #3,2026-03-30T23:59:03,vjepa2,28afb0fc-7dd2-40bd-8756-d1514239e1cf,0.1582420077174902,1.0312096925890902e-07,6.527777105513232e-07,360.0,246.17660274849717,10.0,1.5301102399826053e-05,1.046445281360775e-05,4.2486159234411175e-07,2.61904168057779e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #3,2026-03-30T23:59:03,vjepa2,28afb0fc-7dd2-40bd-8756-d1514239e1cf,0.10763439908623695,6.095852593206651e-08,5.686144697988128e-07,360.0,150.34264920579716,10.0,1.0711039043962968e-05,4.473614687583449e-06,2.9744669381115155e-07,1.5482100425357576e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #3,2026-03-30T23:59:03,vjepa2,28afb0fc-7dd2-40bd-8756-d1514239e1cf,0.13671841844916344,7.067011810045201e-08,5.182245612777114e-07,360.0,103.22541361953499,10.0,1.365393456071614e-05,3.915558686173881e-06,3.791340988957218e-07,1.794862734578575e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #4,2026-03-30T23:59:03,vjepa2,28afb0fc-7dd2-40bd-8756-d1514239e1cf,0.19498815201222897,1.2695410583977692e-07,6.521711554114115e-07,360.0,233.41048196598894,10.0,1.9236258603632435e-05,1.2473065531537486e-05,5.341756209317184e-07,3.224349975610165e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
