epoch,step,loss,total_step_ms,data_transfer_ms,forward_ms,backward_ms,optimizer_step_ms,ema_update_ms,step_start_time,step_end_time
1,1,0.860231,634.132,2.208,267.888,150.745,198.882,27.07,1774931767.768946,1774931768.406191
1,2,0.746666,490.277,0.493,177.504,156.577,139.558,27.148,1774931768.4473011,1774931768.9406893
1,3,0.70132,463.348,0.492,169.098,139.35,139.208,27.092,1774931768.973732,1774931769.4403439
1,4,0.668407,427.708,0.474,156.494,114.207,139.226,27.082,1774931769.4698594,1774931769.9010043
1,5,0.64746,476.507,0.47,173.863,148.7,139.362,27.136,1774931769.9292479,1774931770.4086232
1,6,0.627922,430.677,0.478,158.979,117.155,139.237,27.141,1774931770.4403048,1774931770.8746912
1,7,0.609751,468.575,0.476,172.473,142.093,138.943,27.007,1774931770.904188,1774931771.375702
1,8,0.592988,556.725,0.478,200.32,202.283,139.081,27.033,1774931771.4032414,1774931771.9639242
1,9,0.573752,433.287,0.476,159.673,116.498,139.876,27.144,1774931771.9954827,1774931772.4317155
1,10,0.549988,495.108,0.479,179.885,160.7,139.277,26.991,1774931772.4602091,1774931772.9583712
1,11,0.5244,456.138,0.467,166.925,136.049,139.01,26.99,1774931772.9871585,1774931773.4464037
1,12,0.502066,519.049,0.477,190.037,174.34,139.651,27.029,1774931773.47532,1774931773.9973032
1,13,0.475097,545.819,0.478,198.77,192.601,139.02,27.033,1774931774.031968,1774931774.5808444
1,14,0.449216,460.292,0.47,165.088,139.659,139.745,27.116,1774931774.6107469,1774931775.0743258
1,15,0.421266,420.13,0.475,152.236,112.597,139.286,27.016,1774931775.1017663,1774931775.5249496
1,16,0.400508,469.106,0.476,172.672,141.015,139.184,27.072,1774931775.553285,1774931776.0261672
1,17,0.374445,393.259,0.484,145.567,90.856,140.289,27.056,1774931776.0539021,1774931776.4503262
1,18,0.354997,481.014,0.473,174.923,151.765,140.21,27.02,1774931776.4794374,1774931776.9635231
1,19,0.335017,381.099,0.471,137.699,88.366,139.072,27.06,1774931776.9916604,1774931777.3754683
1,20,0.317482,510.451,0.474,182.899,173.689,138.661,27.037,1774931777.4033313,1774931777.916557
1,21,0.307487,485.859,0.477,174.716,151.861,139.584,27.07,1774931777.941089,1774931778.4299018
1,22,0.296193,411.024,0.473,149.82,107.888,138.729,27.061,1774931778.458421,1774931778.8724518
1,23,0.284032,432.092,0.471,161.839,115.479,139.314,27.054,1774931778.896808,1774931779.3319306
1,24,0.27407,437.39,0.481,158.749,125.57,138.945,26.956,1774931779.361422,1774931779.8022573
1,25,0.266824,408.15,0.471,152.052,101.006,138.539,26.931,1774931779.8305368,1774931780.2415082
1,26,0.254175,428.817,0.473,158.847,115.639,139.329,27.003,1774931780.2681718,1774931780.700057
1,27,0.253534,395.683,0.467,147.851,93.75,138.844,26.994,1774931780.729433,1774931781.128243
1,28,0.248709,435.121,0.47,160.414,120.348,139.285,26.915,1774931781.1517663,1774931781.5899622
1,29,0.244561,510.125,0.472,183.815,172.369,138.731,27.096,1774931781.6189334,1774931782.1323965
1,30,0.240873,431.124,0.475,153.847,123.418,139.45,27.12,1774931782.164367,1774931782.5987291
1,31,0.232841,432.517,0.473,155.464,112.823,138.983,27.131,1774931782.6262708,1774931783.0617497
1,32,0.236032,430.197,0.477,158.702,116.508,138.995,27.078,1774931783.092355,1774931783.525477
1,33,0.236216,480.335,0.477,174.696,151.07,139.436,27.184,1774931783.5534198,1774931784.0366335
1,34,0.222144,401.177,0.473,145.64,101.631,139.202,27.101,1774931784.064181,1774931784.4684823
1,35,0.22639,511.61,0.468,187.022,170.449,138.944,27.015,1774931784.496376,1774931785.010881
1,36,0.244221,474.681,0.472,170.087,150.296,138.755,27.034,1774931785.040577,1774931785.5179267
1,37,0.241609,369.989,0.478,138.568,77.595,138.973,27.058,1774931785.546855,1774931785.9203293
1,38,0.230032,478.699,0.473,171.143,154.436,138.992,27.061,1774931785.949325,1774931786.4309978
1,39,0.209349,474.646,0.469,173.682,148.888,138.882,27.041,1774931786.4589367,1774931786.936516
1,40,0.217281,465.201,0.476,171.488,141.692,138.565,27.017,1774931786.9656768,1774931787.4342806
1,41,0.221785,394.526,0.471,146.26,94.929,138.935,27.048,1774931787.4633927,1774931787.860521
1,42,0.20872,519.744,0.47,189.984,176.626,139.217,27.064,1774931787.8853364,1774931788.408076
1,43,0.204095,501.405,0.474,183.623,165.005,138.88,27.04,1774931788.4351943,1774931788.939294
1,44,0.209411,382.943,0.473,140.616,90.118,138.464,27.016,1774931788.967183,1774931789.3524415
1,45,0.192948,379.19,0.475,139.196,88.947,138.566,27.059,1774931789.3813188,1774931789.7630851
1,46,0.209222,508.007,0.476,185.498,168.915,138.827,27.028,1774931789.7848663,1774931790.2954826
1,47,0.19916,483.033,0.474,176.311,153.745,138.5,27.081,1774931790.3223617,1774931790.8084104
1,48,0.182055,379.12,0.471,138.531,88.163,138.309,27.137,1774931790.8367252,1774931791.2186255
1,49,0.177855,382.336,0.476,142.468,86.222,139.463,27.044,1774931791.2491255,1774931791.634038
1,50,0.178192,508.268,0.477,184.006,172.065,138.861,27.057,1774931791.6621492,1774931792.173237
1,51,0.168054,419.729,0.483,155.701,111.046,139.203,27.146,1774931792.201961,1774931792.6245794
1,52,0.16576,470.088,0.469,170.863,146.195,139.156,27.026,1774931792.6531136,1774931793.1255565
1,53,0.161902,465.58,0.472,169.883,143.522,138.641,27.075,1774931793.152676,1774931793.6209
1,54,0.15735,517.17,0.482,186.758,177.662,139.202,27.159,1774931793.6479526,1774931794.1676452
1,55,0.152497,434.827,0.473,159.578,122.365,139.044,27.054,1774931794.1913939,1774931794.6291158
1,56,0.150141,501.61,0.485,183.538,164.82,138.711,27.093,1774931794.6575193,1774931795.1619842
1,57,0.144218,459.305,0.475,163.175,141.713,139.09,27.127,1774931795.1841307,1774931795.646672
1,58,0.137581,474.088,0.48,171.027,148.727,139.121,27.058,1774931795.6738665,1774931796.150826
1,59,0.142376,434.125,0.475,159.539,121.102,138.688,27.061,1774931796.1805828,1774931796.6174002
1,60,0.135126,414.796,0.477,152.631,108.997,138.839,27.016,1774931796.647301,1774931797.0648456
1,61,0.133707,522.712,0.473,192.033,177.541,138.763,27.046,1774931797.0918536,1774931797.617172
1,62,0.128757,517.625,0.481,188.552,174.972,139.112,27.051,1774931797.6456606,1774931798.165838
1,63,0.123969,409.166,0.475,150.975,105.985,138.644,27.042,1774931798.1952102,1774931798.6069999
1,64,0.123197,510.312,0.47,184.67,172.749,138.336,27.031,1774931798.6344619,1774931799.1480849
1,65,0.116047,506.58,0.468,180.986,173.203,139.136,27.089,1774931799.1760106,1774931799.6852908
1,66,0.115605,431.496,0.476,159.218,121.243,138.271,27.005,1774931799.7127213,1774931800.147019
1,67,0.115124,450.998,0.475,163.66,130.641,138.516,27.04,1774931800.227063,1774931800.6809523
1,68,0.112723,520.49,0.479,190.927,177.219,138.834,27.047,1774931800.7496307,1774931801.2728803
1,69,0.107653,441.437,0.477,163.176,122.779,139.5,27.084,1774931801.2943678,1774931801.7388
