epoch,step,loss,total_step_ms,data_transfer_ms,forward_ms,backward_ms,optimizer_step_ms,ema_update_ms,step_start_time,step_end_time
1,1,0.873356,698.25,2.076,305.791,189.771,189.397,27.143,1774931450.5653038,1774931451.2659733
1,2,0.729018,504.506,0.51,181.837,169.911,138.874,27.158,1774931451.3094723,1774931451.8165412
1,3,0.68547,433.883,0.492,164.503,117.358,138.575,27.055,1774931451.8536851,1774931452.2899992
1,4,0.648829,446.613,0.48,165.567,127.314,139.801,27.077,1774931452.3197165,1774931452.7689898
1,5,0.628325,445.599,0.477,166.877,126.64,138.796,27.08,1774931452.7932832,1774931453.2420616
1,6,0.612688,431.433,0.472,154.866,121.655,138.727,27.076,1774931453.2698743,1774931453.70425
1,7,0.597923,385.387,0.475,144.567,88.092,138.595,27.087,1774931453.7323315,1774931454.120362
1,8,0.580382,506.233,0.48,186.111,167.877,138.656,27.097,1774931454.1421623,1774931454.6516614
1,9,0.556942,421.51,0.473,153.804,115.776,138.471,27.061,1774931454.674214,1774931455.0986402
1,10,0.53778,502.587,0.469,183.058,167.683,138.66,27.291,1774931455.1220639,1774931455.6272757
1,11,0.50907,429.993,0.482,154.93,121.012,139.15,27.412,1774931455.6549177,1774931456.0874176
1,12,0.485638,399.67,0.483,148.729,99.189,138.65,27.236,1774931456.1104355,1774931456.5128117
1,13,0.456226,439.546,0.476,160.855,125.794,138.821,27.26,1774931456.5411415,1774931456.9832413
1,14,0.426998,518.772,0.477,190.669,174.876,138.619,27.205,1774931457.00781,1774931457.5300002
1,15,0.397077,481.291,0.482,176.442,152.296,139.033,27.26,1774931457.553288,1774931458.0371392
1,16,0.368227,430.49,0.472,159.293,116.928,139.62,27.267,1774931458.0587587,1774931458.491962
1,17,0.339369,467.739,0.481,168.458,145.993,138.952,27.234,1774931458.523173,1774931458.9936323
1,18,0.308642,514.527,0.48,188.531,173.918,138.45,27.209,1774931459.0240726,1774931459.540879
1,19,0.28639,400.963,0.478,145.82,102.797,139.1,27.056,1774931459.5683072,1774931459.9718149
1,20,0.265229,510.499,0.476,186.564,170.404,138.887,27.12,1774931459.9995465,1774931460.512773
1,21,0.242526,484.429,0.473,170.579,161.029,139.006,27.082,1774931460.5417845,1774931461.0291271
1,22,0.226795,422.272,0.479,157.047,113.855,138.346,27.118,1774931461.0548162,1774931461.4798014
1,23,0.207661,459.156,0.468,167.904,138.328,139.169,27.124,1774931461.5073874,1774931461.9692965
1,24,0.197704,474.607,0.483,173.577,148.494,138.774,27.084,1774931461.998039,1774931462.4754453
1,25,0.186871,391.4,0.469,141.442,97.815,138.748,27.102,1774931462.5046656,1774931462.898773
1,26,0.177091,511.797,0.474,184.002,175.758,138.742,27.097,1774931462.9275682,1774931463.4420204
1,27,0.169759,487.132,0.469,178.292,156.734,138.641,27.071,1774931463.4696274,1774931463.9592452
1,28,0.159577,464.954,0.474,169.641,142.354,139.862,27.079,1774931464.0130715,1774931464.4804587
1,29,0.155772,504.765,0.49,186.357,165.752,138.74,27.078,1774931464.5105445,1774931465.0186348
1,30,0.147157,508.842,0.494,186.21,170.523,138.485,27.073,1774931465.069508,1774931465.5808668
1,31,0.145782,447.52,0.472,165.661,129.409,138.981,27.091,1774931465.603632,1774931466.0537605
1,32,0.136999,464.904,0.472,167.475,144.403,138.694,27.076,1774931466.076607,1774931466.5442212
1,33,0.135471,459.821,0.467,166.695,141.029,138.835,27.108,1774931466.573663,1774931467.036114
1,34,0.131486,534.914,0.468,194.982,187.44,138.684,27.093,1774931467.065811,1774931467.6034818
1,35,0.127151,505.854,0.474,185.859,166.197,139.136,27.127,1774931467.631562,1774931468.1400986
