epoch,step,phase,start_time,end_time,duration_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,1,data_transfer,1774932085.4229076,1774932085.4251723,2.265,5059.2,5200.0
1,1,forward,1774932085.4283595,1774932085.7315407,303.181,7456.8,7792.0
1,1,backward,1774932085.735184,1774932085.9329329,197.749,7644.7,9452.0
1,1,ema_update,1774932086.0937605,1774932086.1206892,26.929,10198.7,15842.0
1,1,optimizer_step,1774932085.9363606,1774932086.1244342,188.074,10198.7,15842.0
1,1,total_step,1774932085.4228826,1774932086.127237,704.355,10189.4,15842.0
1,2,data_transfer,1774932086.1698856,1774932086.1703804,0.495,10198.7,15842.0
1,2,forward,1774932086.1741955,1774932086.3716905,197.495,13717.2,15874.0
1,2,backward,1774932086.3754294,1774932086.5661042,190.675,12770.3,15914.0
1,2,ema_update,1774932086.6782632,1774932086.7052617,26.999,10198.7,16122.0
1,2,optimizer_step,1774932086.5699062,1774932086.708947,139.041,10198.7,16122.0
1,2,total_step,1774932086.1698704,1774932086.7130072,543.137,10189.4,16122.0
1,3,data_transfer,1774932086.756023,1774932086.756516,0.493,10198.7,16122.0
1,3,forward,1774932086.7599673,1774932086.927839,167.872,12550.8,16122.0
1,3,backward,1774932086.9315135,1774932087.0669057,135.392,12768.0,16122.0
1,3,ema_update,1774932087.179052,1774932087.206394,27.342,10198.7,16410.0
1,3,optimizer_step,1774932087.0706732,1774932087.2101278,139.455,10198.7,16410.0
1,3,total_step,1774932086.7560089,1774932087.2143137,458.305,10189.4,16410.0
1,4,data_transfer,1774932087.2502792,1774932087.2507596,0.480,10198.7,16410.0
1,4,forward,1774932087.2539015,1774932087.4199243,166.023,12520.1,16410.0
1,4,backward,1774932087.4231915,1774932087.5538332,130.642,12766.3,16410.0
1,4,ema_update,1774932087.6658933,1774932087.69294,27.047,10198.7,16482.0
1,4,optimizer_step,1774932087.5577018,1774932087.6969154,139.214,10198.7,16482.0
1,4,total_step,1774932087.2502666,1774932087.7007756,450.509,10189.4,16482.0
1,5,data_transfer,1774932087.7345512,1774932087.7350316,0.480,10198.7,16482.0
1,5,forward,1774932087.7392735,1774932087.9281938,188.920,13235.5,16482.0
1,5,backward,1774932087.9314702,1774932088.1034207,171.951,12759.8,16482.0
1,5,ema_update,1774932088.2154353,1774932088.2424526,27.017,10198.7,16482.0
1,5,optimizer_step,1774932088.1070898,1774932088.2462802,139.190,10198.7,16482.0
1,5,total_step,1774932087.734538,1774932088.249751,515.213,10189.4,16482.0
1,6,data_transfer,1774932088.284064,1774932088.2845447,0.481,10198.7,16482.0
1,6,forward,1774932088.288003,1774932088.4651308,177.128,12825.9,16482.0
1,6,backward,1774932088.4686987,1774932088.6224282,153.729,12773.9,16482.0
1,6,ema_update,1774932088.7345765,1774932088.761544,26.968,10198.7,16482.0
1,6,optimizer_step,1774932088.626285,1774932088.7649481,138.663,10198.7,16482.0
1,6,total_step,1774932088.2840497,1774932088.7687478,484.698,10189.4,16482.0
1,7,data_transfer,1774932088.800683,1774932088.8011613,0.478,10198.7,16482.0
1,7,forward,1774932088.804193,1774932088.9791107,174.918,12708.1,16482.0
1,7,backward,1774932088.9822838,1774932089.1305313,148.247,12775.2,16482.0
1,7,ema_update,1774932089.2426484,1774932089.2696133,26.965,10198.7,16508.0
1,7,optimizer_step,1774932089.1341586,1774932089.273037,138.878,10198.7,16508.0
1,7,total_step,1774932088.8006709,1774932089.2769005,476.230,10189.4,16508.0
1,8,data_transfer,1774932089.3090487,1774932089.3095438,0.495,10198.7,16508.0
1,8,forward,1774932089.3125393,1774932089.4990978,186.558,13436.5,16508.0
1,8,backward,1774932089.5030782,1774932089.6789997,175.921,12775.5,16508.0
1,8,ema_update,1774932089.7912357,1774932089.8182042,26.968,10198.7,16508.0
1,8,optimizer_step,1774932089.6829557,1774932089.8217661,138.810,10198.7,16508.0
1,8,total_step,1774932089.3090353,1774932089.825428,516.393,10189.4,16508.0
1,9,data_transfer,1774932089.8580923,1774932089.858569,0.477,10198.7,16508.0
1,9,forward,1774932089.8619807,1774932090.023849,161.868,12161.3,16508.0
1,9,backward,1774932090.027855,1774932090.152575,124.720,12766.9,16508.0
1,9,ema_update,1774932090.2652326,1774932090.292235,27.002,10198.7,16508.0
1,9,optimizer_step,1774932090.1568694,1774932090.2950318,138.162,10198.7,16508.0
1,9,total_step,1774932089.858075,1774932090.299071,440.996,10189.4,16508.0
1,10,data_transfer,1774932090.330718,1774932090.3311868,0.469,10198.7,16508.0
1,10,forward,1774932090.3346848,1774932090.5208628,186.178,13167.5,16508.0
1,10,backward,1774932090.5246298,1774932090.6939163,169.286,12762.3,16508.0
1,10,ema_update,1774932090.8062015,1774932090.8331957,26.994,10198.7,16508.0
1,10,optimizer_step,1774932090.6978667,1774932090.8370245,139.158,10198.7,16508.0
1,10,total_step,1774932090.330706,1774932090.840578,509.872,10189.4,16508.0
1,11,data_transfer,1774932090.895795,1774932090.8962777,0.483,10198.7,16508.0
1,11,forward,1774932090.8998804,1774932091.069351,169.471,12631.4,16508.0
1,11,backward,1774932091.0731893,1774932091.2128425,139.653,12761.9,16508.0
1,11,ema_update,1774932091.3250444,1774932091.3520331,26.989,10198.7,16508.0
1,11,optimizer_step,1774932091.2167647,1774932091.35576,138.995,10198.7,16508.0
1,11,total_step,1774932090.8957822,1774932091.3594346,463.652,10189.4,16508.0
1,12,data_transfer,1774932091.3852274,1774932091.385701,0.473,10198.7,16508.0
1,12,forward,1774932091.3886876,1774932091.5783145,189.627,13405.2,16508.0
1,12,backward,1774932091.5821676,1774932091.755752,173.584,12780.0,16508.0
1,12,ema_update,1774932091.8676739,1774932091.8946588,26.985,10198.7,16678.0
1,12,optimizer_step,1774932091.759554,1774932091.8992302,139.676,10198.7,16678.0
1,12,total_step,1774932091.3852153,1774932091.9027522,517.537,10189.4,16678.0
1,13,data_transfer,1774932091.9325845,1774932091.933061,0.476,10198.7,16678.0
1,13,forward,1774932091.9366274,1774932092.111692,175.065,12766.3,16678.0
1,13,backward,1774932092.115385,1774932092.2665727,151.188,12776.6,16678.0
1,13,ema_update,1774932092.3795478,1774932092.4065955,27.048,10198.7,16678.0
1,13,optimizer_step,1774932092.270699,1774932092.4104593,139.760,10198.7,16678.0
1,13,total_step,1774932091.9325712,1774932092.4142127,481.642,10189.4,16678.0
1,14,data_transfer,1774932092.438903,1774932092.4393795,0.476,10198.7,16678.0
1,14,forward,1774932092.4432337,1774932092.6055217,162.288,12161.3,16678.0
1,14,backward,1774932092.6095626,1774932092.7346294,125.067,12766.8,16678.0
1,14,ema_update,1774932092.8457756,1774932092.8727262,26.951,10198.7,16678.0
1,14,optimizer_step,1774932092.7375937,1774932092.8764431,138.849,10198.7,16678.0
1,14,total_step,1774932092.438891,1774932092.8797085,440.818,10189.4,16678.0
1,15,data_transfer,1774932092.9113038,1774932092.9117699,0.466,10198.7,16678.0
1,15,forward,1774932092.9152784,1774932093.1031365,187.858,13340.2,16678.0
1,15,backward,1774932093.106996,1774932093.2787628,171.767,12784.1,16678.0
1,15,ema_update,1774932093.3910546,1774932093.4180863,27.032,10198.7,16730.0
1,15,optimizer_step,1774932093.2827206,1774932093.42173,139.009,10198.7,16730.0
1,15,total_step,1774932092.9112916,1774932093.4256465,514.355,10189.4,16730.0
1,16,data_transfer,1774932093.4509106,1774932093.451384,0.473,10198.7,16730.0
1,16,forward,1774932093.4547322,1774932093.6285717,173.840,12708.9,16730.0
1,16,backward,1774932093.632613,1774932093.7812037,148.591,12777.2,16730.0
1,16,ema_update,1774932093.8933375,1774932093.9204068,27.069,10198.7,16730.0
1,16,optimizer_step,1774932093.7851498,1774932093.924133,138.983,10198.7,16730.0
1,16,total_step,1774932093.4508984,1774932093.9277952,476.897,10189.4,16730.0
1,17,data_transfer,1774932093.954599,1774932093.955081,0.482,10198.7,16730.0
1,17,forward,1774932093.9583426,1774932094.1328256,174.483,12708.9,16730.0
1,17,backward,1774932094.1368175,1774932094.2856526,148.835,12777.2,16730.0
1,17,ema_update,1774932094.3982244,1774932094.4252121,26.988,10198.7,16730.0
1,17,optimizer_step,1774932094.2897315,1774932094.4290402,139.309,10198.7,16730.0
1,17,total_step,1774932093.9545865,1774932094.432808,478.221,10189.4,16730.0
1,18,data_transfer,1774932094.4594352,1774932094.4599128,0.478,10198.7,16730.0
1,18,forward,1774932094.4631505,1774932094.6229858,159.835,12065.3,16730.0
1,18,backward,1774932094.6270013,1774932094.7441373,117.136,12770.3,16730.0
1,18,ema_update,1774932094.8575048,1774932094.8844688,26.964,10198.7,16730.0
1,18,optimizer_step,1774932094.7489755,1774932094.8884087,139.433,10198.7,16730.0
1,18,total_step,1774932094.4594235,1774932094.8914592,432.036,10189.4,16730.0
1,19,data_transfer,1774932094.9265924,1774932094.9270673,0.475,10198.7,16730.0
1,19,forward,1774932094.9305925,1774932095.0929875,162.395,12180.3,16730.0
1,19,backward,1774932095.0963793,1774932095.2146096,118.230,12763.8,16730.0
1,19,ema_update,1774932095.3272958,1774932095.3542376,26.942,10198.7,16730.0
1,19,optimizer_step,1774932095.2187471,1774932095.3578904,139.143,10198.7,16730.0
1,19,total_step,1774932094.9265792,1774932095.3612497,434.670,10189.4,16730.0
