epoch,step,loss,total_step_ms,data_transfer_ms,forward_ms,backward_ms,optimizer_step_ms,ema_update_ms,step_start_time,step_end_time
1,1,0.859593,704.355,2.265,303.181,197.749,188.074,26.929,1774932085.4228826,1774932086.129834
1,2,0.726387,543.137,0.495,197.495,190.675,139.041,26.999,1774932086.1698704,1774932086.7164152
1,3,0.68171,458.305,0.493,167.872,135.392,139.455,27.342,1774932086.7560089,1774932087.2178726
1,4,0.646041,450.509,0.48,166.023,130.642,139.214,27.047,1774932087.2502666,1774932087.7039871
1,5,0.6249,515.213,0.48,188.92,171.951,139.19,27.017,1774932087.734538,1774932088.2526143
1,6,0.608011,484.698,0.481,177.128,153.729,138.663,26.968,1774932088.2840497,1774932088.771881
1,7,0.591421,476.23,0.478,174.918,148.247,138.878,26.965,1774932088.8006709,1774932089.2798047
1,8,0.57157,516.393,0.495,186.558,175.921,138.81,26.968,1774932089.3090353,1774932089.8283424
1,9,0.55509,440.996,0.477,161.868,124.72,138.162,27.002,1774932089.858075,1774932090.301493
1,10,0.533063,509.872,0.469,186.178,169.286,139.158,26.994,1774932090.330706,1774932090.8440635
1,11,0.508429,463.652,0.483,169.471,139.653,138.995,26.989,1774932090.8957822,1774932091.362538
1,12,0.48288,517.537,0.473,189.627,173.584,139.676,26.985,1774932091.3852153,1774932091.9058313
1,13,0.456386,481.642,0.476,175.065,151.188,139.76,27.048,1774932091.9325712,1774932092.417154
1,14,0.429047,440.818,0.476,162.288,125.067,138.849,26.951,1774932092.438891,1774932092.8829386
1,15,0.402604,514.355,0.466,187.858,171.767,139.009,27.032,1774932092.9112916,1774932093.428857
1,16,0.375749,476.897,0.473,173.84,148.591,138.983,27.069,1774932093.4508984,1774932093.9309628
1,17,0.346947,478.221,0.482,174.483,148.835,139.309,26.988,1774932093.9545865,1774932094.4360247
1,18,0.324456,432.036,0.478,159.835,117.136,139.433,26.964,1774932094.4594235,1774932094.894522
1,19,0.30367,434.67,0.475,162.395,118.23,139.143,26.942,1774932094.9265792,1774932095.3641367
1,20,0.282973,483.081,0.475,172.302,156.183,139.329,27.024,1774932095.3941061,1774932095.8803747
1,21,0.260719,517.734,0.476,189.156,173.741,138.837,26.959,1774932095.9039805,1774932096.4247165
1,22,0.251981,468.538,0.473,167.87,145.929,138.848,26.965,1774932096.4469016,1774932096.919165
1,23,0.231565,393.12,0.476,142.827,95.891,139.107,26.972,1774932096.942247,1774932097.339099
1,24,0.226564,422.333,0.472,153.078,112.968,139.354,26.919,1774932097.3681116,1774932097.7936049
1,25,0.213215,507.231,0.48,184.674,168.437,138.752,27.004,1774932097.884233,1774932098.3950098
1,26,0.206853,432.244,0.485,160.626,117.269,139.221,26.957,1774932098.422255,1774932098.8574424
1,27,0.19523,385.476,0.474,139.214,92.236,139.117,26.952,1774932098.8850908,1774932099.2735143
1,28,0.192449,426.8,0.467,156.503,115.494,138.82,26.961,1774932099.3019388,1774932099.7318978
1,29,0.187553,463.039,0.471,168.461,139.5,139.672,26.973,1774932099.7599847,1774932100.2261565
1,30,0.181529,468.705,0.474,172.614,141.351,139.738,26.949,1774932100.2544098,1774932100.7264376
1,31,0.179583,542.491,0.469,197.616,190.51,138.917,27.009,1774932100.7545502,1774932101.2998219
1,32,0.176615,479.363,0.475,174.603,150.126,139.458,26.969,1774932101.3290763,1774932101.8121734
1,33,0.171822,506.598,0.48,181.974,170.053,139.312,26.999,1774932101.8352118,1774932102.3448606
1,34,0.168518,450.706,0.477,166.398,129.475,138.812,26.957,1774932102.3729644,1774932102.8268492
1,35,0.165836,482.397,0.466,175.399,152.632,138.911,26.949,1774932102.8552966,1774932103.3406713
1,36,0.162467,494.854,0.481,178.313,161.379,138.787,26.951,1774932103.3717887,1774932103.869788
1,37,0.164899,474.123,0.464,171.705,146.055,139.876,27.003,1774932103.8986974,1774932104.3762014
1,38,0.160288,441.363,0.468,161.111,126.281,138.873,26.943,1774932104.4073985,1774932104.8523772
1,39,0.160297,506.772,0.472,184.947,166.835,139.056,26.981,1774932104.8783715,1774932105.3883512
1,40,0.154382,472.633,0.469,172.293,145.627,139.265,26.944,1774932105.416803,1774932105.8925443
1,41,0.150934,516.858,0.469,187.019,175.189,138.914,26.991,1774932105.9158888,1774932106.436284
1,42,0.144037,432.243,0.475,155.411,121.75,138.822,26.966,1774932106.4593508,1774932106.894758
1,43,0.14738,439.988,0.468,162.335,122.533,138.902,26.934,1774932106.922525,1774932107.3654218
1,44,0.143261,424.894,0.475,156.61,112.874,139.639,26.968,1774932107.3941658,1774932107.8222044
1,45,0.142492,478.199,0.473,169.388,151.59,139.132,26.958,1774932107.8516324,1774932108.3326342
1,46,0.141247,436.287,0.474,162.158,118.304,139.225,26.994,1774932108.3607316,1774932108.8000345
1,47,0.138149,533.13,0.473,190.249,188.685,139.56,26.969,1774932108.828326,1774932109.3643818
1,48,0.138066,502.961,0.478,178.933,170.515,138.988,26.963,1774932109.3930821,1774932109.8990457
1,49,0.137351,506.189,0.48,185.436,166.376,138.943,26.994,1774932109.9335136,1774932110.442868
1,50,0.135397,396.943,0.475,146.868,96.214,139.029,26.946,1774932110.4647954,1774932110.8646607
1,51,0.133628,503.917,0.471,185.325,164.366,139.357,27.017,1774932110.8927221,1774932111.3997715
1,52,0.132302,408.826,0.473,148.962,104.335,139.547,26.96,1774932111.4274752,1774932111.8395035
1,53,0.130788,433.576,0.485,160.687,117.385,139.566,26.988,1774932111.88154,1774932112.3179722
1,54,0.136219,500.861,0.474,182.746,163.435,139.293,26.978,1774932112.3462343,1774932112.850081
1,55,0.13237,486.88,0.471,171.236,161.765,138.922,26.974,1774932112.8793626,1774932113.3702705
1,56,0.123817,446.739,0.482,164.206,127.512,139.33,26.968,1774932113.3982093,1774932113.8482525
1,57,0.121391,461.323,0.476,169.127,133.839,139.473,26.949,1774932113.9260511,1774932114.3904393
1,58,0.123137,487.403,0.478,170.337,161.343,139.772,26.97,1774932114.4198425,1774932114.9107254
1,59,0.120696,486.462,0.48,176.202,154.961,139.379,27.021,1774932114.9472892,1774932115.436919
1,60,0.119342,427.797,0.485,158.372,114.12,139.36,26.957,1774932115.4590774,1774932115.8898563
1,61,0.116396,480.649,0.469,174.16,152.519,139.362,26.942,1774932115.9178836,1774932116.4017465
1,62,0.116386,480.619,0.481,174.845,150.461,139.465,26.932,1774932116.4312332,1774932116.915135
1,63,0.119002,400.818,0.473,144.315,102.287,139.228,27.005,1774932116.946775,1774932117.350872
1,64,0.129386,509.693,0.477,182.952,172.926,138.536,26.925,1774932117.3740563,1774932117.8866067
1,65,0.144061,477.316,0.472,172.445,150.621,139.559,27.011,1774932117.9136844,1774932118.3951643
1,66,0.116879,561.136,0.484,201.656,204.817,139.284,26.981,1774932118.438783,1774932119.0029852
1,67,0.136004,510.074,0.476,182.318,173.634,139.028,27.039,1774932119.0376656,1774932119.5506206
1,68,0.108764,485.896,0.473,175.924,154.511,139.663,26.988,1774932119.5795505,1774932120.0685883
1,69,0.119635,411.603,0.476,147.9,107.201,139.672,27.042,1774932120.097815,1774932120.5126815
1,70,0.116122,391.993,0.484,144.816,91.994,139.728,26.96,1774932120.5358765,1774932120.9309149
1,71,0.103693,458.796,0.468,166.851,136.029,139.726,26.971,1774932120.9597733,1774932121.4220347
1,72,0.113231,517.372,0.469,189.745,173.862,138.796,26.961,1774932121.4467285,1774932121.9673467
1,73,0.099513,506.14,0.473,179.554,173.064,139.396,27.052,1774932121.9888756,1774932122.497968
1,74,0.106132,480.832,0.479,174.391,151.495,139.652,27.052,1774932122.520327,1774932123.0043712
1,75,0.098943,437.012,0.472,157.647,123.774,139.409,26.98,1774932123.0335581,1774932123.4736052
1,76,0.095852,404.058,0.473,148.371,100.842,138.842,26.968,1774932123.4971213,1774932123.9045362
1,77,0.094252,553.414,0.482,196.504,202.55,139.518,26.992,1774932123.9336255,1774932124.490303
1,78,0.107544,457.728,0.472,166.85,136.348,139.276,27.075,1774932124.5181978,1774932124.9790401
1,79,0.091633,436.564,0.485,159.78,122.004,140.294,26.956,1774932125.0014536,1774932125.4407706
1,80,0.089634,514.553,0.472,188.423,172.29,138.814,26.972,1774932125.4628036,1774932125.9801385
1,81,0.085245,431.072,0.475,160.851,117.436,138.981,26.975,1774932126.0010366,1774932126.4348042
1,82,0.087914,478.631,0.468,167.729,156.738,138.88,26.964,1774932126.455799,1774932126.9383643
1,83,0.098638,434.107,0.469,162.822,116.572,139.252,26.987,1774932126.961917,1774932127.3989305
1,84,0.088206,373.326,0.472,140.002,79.647,138.763,26.964,1774932127.4271243,1774932127.8041384
1,85,0.083885,391.156,0.472,143.737,91.249,140.109,26.973,1774932127.8317597,1774932128.2263293
1,86,0.086506,512.228,0.473,184.059,172.849,139.847,26.967,1774932128.2540526,1774932128.769174
1,87,0.079058,447.604,0.468,164.827,127.927,139.153,26.931,1774932128.7911358,1774932129.2432127
1,88,0.079478,388.242,0.469,145.385,89.429,138.88,26.948,1774932129.2663412,1774932129.6582718
1,89,0.078605,523.433,0.484,190.821,177.462,139.931,26.958,1774932129.6870654,1774932130.213122
1,90,0.077856,434.784,0.469,161.657,118.313,139.146,27.006,1774932130.2443879,1774932130.683338
1,91,0.075646,507.674,0.478,184.468,169.436,138.935,26.976,1774932130.7126608,1774932131.223332
1,92,0.075749,512.007,0.48,183.971,173.313,138.882,26.995,1774932131.2734356,1774932131.7884276
1,93,0.075466,475.919,0.471,173.269,148.69,138.895,26.973,1774932131.8156552,1774932132.2948372
1,94,0.073638,442.173,0.477,162.096,126.011,138.875,26.975,1774932132.3238666,1774932132.7696216
1,95,0.073414,447.106,0.482,164.966,128.839,138.822,26.945,1774932132.7985735,1774932133.2481318
1,96,0.070395,479.583,0.469,174.562,151.036,139.739,26.943,1774932133.2781165,1774932133.7606673
1,97,0.070754,504.274,0.468,186.193,164.697,139.022,26.983,1774932133.788608,1774932134.2960742
1,98,0.071751,400.637,0.482,148.772,98.84,138.791,26.985,1774932134.3249643,1774932134.7284737
1,99,0.068616,379.27,0.477,139.625,86.162,138.672,27.033,1774932134.7572234,1774932135.1391428
1,100,0.069517,392.684,0.473,144.891,94.281,138.995,26.981,1774932135.1721175,1774932135.5676005
1,101,0.065615,419.667,0.479,154.181,112.762,138.23,26.933,1774932135.596469,1774932136.0189314
1,102,0.065037,444.515,0.475,165.118,125.549,138.094,26.968,1774932136.0461824,1774932136.4932804
1,103,0.065632,480.451,0.467,173.993,154.019,138.391,26.969,1774932136.5146546,1774932136.9976869
1,104,0.062792,461.06,0.481,168.43,140.119,138.333,27.083,1774932137.0195773,1774932137.4832926
