task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-03-31T00:09:42,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.28618742153048515,1.512263328018134e-07,5.290142074168315e-07,360.0,107.81273133268527,10.0,2.8937526047229767e-05,8.66695137347051e-06,8.036244091474348e-07,3.840810182984771e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #1,2026-03-31T00:09:42,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.16654208861291409,1.0519141189315637e-07,6.328450902467272e-07,360.0,209.09802531429818,10.0,1.6607835143804547e-05,9.647229944675928e-06,4.6119777899649404e-07,2.6716262867476978e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #1,2026-03-31T00:09:42,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.19265619851648808,1.0309233011063207e-07,5.360304728114671e-07,360.0,107.87927209728407,10.0,1.972426790744066e-05,5.91111584213877e-06,5.47759353907572e-07,2.6183143103487004e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #2,2026-03-31T00:09:42,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.169017992913723,1.0869305323074068e-07,6.449546802655576e-07,360.0,208.66935550188182,10.0,1.717330310493707e-05,9.95556352023641e-06,4.767347230679459e-07,2.760560134824143e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #2,2026-03-31T00:09:42,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.15046073496341705,9.85178986594122e-08,6.561643289616565e-07,360.0,241.00347947701695,10.0,1.4741956256330007e-05,9.87000789365311e-06,4.093758089260922e-07,2.5021339958909225e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #2,2026-03-31T00:09:43,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.13785947300493717,6.966674473644624e-08,5.066239866480614e-07,360.0,94.77278816008294,10.0,1.3704915903508665e-05,3.608336221816444e-06,3.805408564706644e-07,1.7693792981795755e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #3,2026-03-31T00:09:43,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.14662682823836803,1.0241769169607651e-07,7.001302805253454e-07,360.0,271.01596935220476,10.0,1.4607847854495044e-05,1.0998342126811167e-05,4.056100733578206e-07,2.6011800054664058e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #3,2026-03-31T00:09:43,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.10131811164319515,5.851574412864227e-08,5.793985316294412e-07,360.0,164.2994659625856,10.0,1.001312509179116e-05,4.5705592128797434e-06,2.780042485230499e-07,1.4861688553193946e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #3,2026-03-31T00:09:43,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.13721036352217197,6.828986239893273e-08,4.99414101694948e-07,360.0,85.95298292798297,10.0,1.369389668107033e-05,3.270002615352041e-06,3.8019640681644284e-07,1.734409570323882e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #4,2026-03-31T00:09:43,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.15719710662961006,8.952906217674319e-08,5.708045299799682e-07,360.0,154.9403802620792,10.0,1.559343934059144e-05,6.7119498154966095e-06,4.329876405083468e-07,2.2738376796596404e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #4,2026-03-31T00:09:43,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.11694292537868023,6.679528675120979e-08,5.730618472321716e-07,360.0,158.60041161826965,10.0,1.155316829681396e-05,5.090559632492386e-06,3.207790303147506e-07,1.69645069596211e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #4,2026-03-31T00:09:43,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.13759343139827251,9.339807738504947e-08,6.803924138306405e-07,360.0,252.3782014470021,10.0,1.3720307499170303e-05,9.619729915755215e-06,3.8098259828984707e-07,2.3721020013215354e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #5,2026-03-31T00:09:44,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.15326787531375885,1.0324545073805669e-07,6.749844409643243e-07,360.0,248.39932803872523,10.0,1.526455935090779e-05,1.053361953751164e-05,4.238534253090622e-07,2.622203231372847e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #5,2026-03-31T00:09:44,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.11131996661424637,6.163299406857114e-08,5.554614660628143e-07,360.0,162.45246309531828,10.0,1.0583173297345648e-05,4.776392707128707e-06,2.938342228945755e-07,1.5653400227368954e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #5,2026-03-31T00:09:44,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.13827192224562168,6.943178805360007e-08,5.034230906971024e-07,360.0,93.05165528038056,10.0,1.3709497265517703e-05,3.543891729407278e-06,3.8073025126424056e-07,1.7634119246189245e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #6,2026-03-31T00:09:44,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.16084321774542332,8.30543771877225e-08,5.175407594962158e-07,360.0,104.03261130976412,10.0,1.6019408591091608e-05,4.629725928850803e-06,4.448172895030841e-07,2.109395180944552e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #6,2026-03-31T00:09:44,vjepa2,a0bf00dc-73b3-4850-95ca-dd99a455c698,0.12175644189119339,9.248929382336767e-08,7.619811696894598e-07,360.0,328.1859100890648,10.0,1.2111417204141602e-05,1.104250883088298e-05,3.362833056598899e-07,2.349020934068447e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
