task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-03-31T00:09:42,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.6623129099607468,3.652154579716427e-07,5.509798681776499e-07,360.0,130.79023910149,10.0,6.667910180985927e-05,2.422529716028521e-05,1.852148383234938e-06,9.275654735337941e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #2,2026-03-31T00:09:43,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.4672768600285053,2.8149379116324665e-07,6.020960348455369e-07,360.0,180.40993036488695,10.0,4.6760362386703497e-05,2.3433907635705964e-05,1.2988489017718367e-06,7.14931189241813e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #3,2026-03-31T00:09:43,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.39182639867067337,2.337115218149457e-07,5.960729669917641e-07,360.0,172.02542837224422,10.0,3.9423541538417345e-05,1.883890395504295e-05,1.0950470964113872e-06,5.935749258987168e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #4,2026-03-31T00:09:43,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.41845319978892803,2.5378085398163676e-07,6.061637674891731e-07,360.0,184.18710823484088,10.0,4.186943639069795e-05,2.142223936374421e-05,1.1629777546558111e-06,6.445465350909797e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #5,2026-03-31T00:09:44,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.41159781999886036,2.409560877591776e-07,5.851202052328563e-07,360.0,164.74193992781306,10.0,4.119917266070844e-05,1.8853903974047626e-05,1.1443734634667638e-06,6.119745009822283e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #6,2026-03-31T00:09:44,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.4254302531480789,2.463403314219672e-07,5.785774834846566e-07,360.0,158.74535764749297,10.0,4.2597531899809854e-05,1.8784181698094926e-05,1.1832138109538293e-06,6.256492740885862e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #7,2026-03-31T00:09:45,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.4730798453092575,2.8713826660650976e-07,6.066424787953648e-07,360.0,181.76483161658638,10.0,4.758086986839772e-05,2.4024185883320115e-05,1.3216335274693032e-06,7.292668927918713e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #8,2026-03-31T00:09:45,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.45160607248544693,2.7965819582418436e-07,6.190362063363186e-07,360.0,193.23501138984219,10.0,4.5397573523223405e-05,2.4368352832482287e-05,1.2609924603667522e-06,7.102691881607245e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #9,2026-03-31T00:09:46,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.5204574763774872,3.1636511997526256e-07,6.074739863974203e-07,360.0,180.06302485572783,10.0,5.25861790403724e-05,2.6302798822541718e-05,1.4606776388569007e-06,8.034965550177099e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #10,2026-03-31T00:09:46,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.43247296661138535,2.520820228156456e-07,5.825618647970906e-07,360.0,162.53810720222393,10.0,4.327989388257263e-05,1.954112674695807e-05,1.2021678085956304e-06,6.40231884381264e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #11,2026-03-31T00:09:47,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.43754567578434944,2.6014969473791553e-07,5.942283878874648e-07,360.0,173.17824489717384,10.0,4.37900124117732e-05,2.1065850184243118e-05,1.2163338354892205e-06,6.607219643150564e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #12,2026-03-31T00:09:47,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.48037369921803474,2.9371762334654015e-07,6.111809530487695e-07,360.0,188.51439544562547,10.0,4.808292649686335e-05,2.5179186813772958e-05,1.335585236342418e-06,7.459769854697876e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #13,2026-03-31T00:09:48,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.39148049615323544,2.3001752001225863e-07,5.871648359686165e-07,360.0,165.88019615880222,10.0,3.924529738724236e-05,1.8083903356114206e-05,1.0900981155120678e-06,5.8419298858868626e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #14,2026-03-31T00:09:48,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.43710608780384064,2.592704417212943e-07,5.928745984270339e-07,360.0,171.97529164451691,10.0,4.37389543280005e-05,2.0895016717759063e-05,1.2149148103263636e-06,6.584888585608594e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #15,2026-03-31T00:09:49,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.39390580728650093,2.3211283277391392e-07,5.888788094816139e-07,360.0,168.19331873580478,10.0,3.9432543516159106e-05,1.8423625846253344e-05,1.0952920135524536e-06,5.895146137596479e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #16,2026-03-31T00:09:49,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.43509371392428875,2.706449638749327e-07,6.21655140396809e-07,360.0,197.84268566201166,10.0,4.3577855639159724e-05,2.3949463603401e-05,1.2104405090212823e-06,6.87377597515821e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #17,2026-03-31T00:09:50,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.43336464278399944,2.4864649596219834e-07,5.734543904475308e-07,360.0,154.08598157577384,10.0,4.337849989533428e-05,1.856723707760466e-05,1.2049045827653663e-06,6.315064155570428e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #18,2026-03-31T00:09:50,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.40734848380088806,2.406716797489257e-07,5.904347123255928e-07,360.0,169.01111971331872,10.0,4.0824571996927214e-05,1.9166682001525714e-05,1.1339628344608665e-06,6.11252168329138e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #19,2026-03-31T00:09:51,vjepa2,a4554587-8c0f-4ef6-b9a3-38e62f551658,0.510692285373807,3.080201814791408e-07,6.02856659088282e-07,360.0,181.03287833004273,10.0,5.110889989882702e-05,2.570168722826338e-05,1.4196408809059187e-06,7.823022800799648e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
