epoch,step,loss,total_step_ms,data_transfer_ms,forward_ms,backward_ms,optimizer_step_ms,ema_update_ms,step_start_time,step_end_time
1,1,0.855899,912.871,4.107,432.174,281.798,181.972,27.119,1774930815.5338094,1774930816.4494786
1,2,0.72857,778.782,0.881,340.102,283.987,139.312,27.133,1774930816.522764,1774930817.3043735
1,3,0.685917,542.401,1.379,254.697,128.212,140.007,27.121,1774930817.377419,1774930817.9231594
1,4,0.651258,581.292,0.87,270.954,154.144,139.11,27.105,1774930817.975211,1774930818.559696
1,5,0.627782,617.906,0.872,285.577,175.216,139.08,27.105,1774930818.6026504,1774930819.2237885
1,6,0.610196,549.8,0.869,259.916,134.649,139.479,27.166,1774930819.2789798,1774930819.8315241
1,7,0.59473,691.712,0.863,311.99,225.555,138.807,27.123,1774930819.8824887,1774930820.5773509
1,8,0.57228,648.813,0.864,296.382,196.494,139.824,27.158,1774930820.6287396,1774930821.280621
1,9,0.550979,710.459,0.871,317.571,237.293,139.431,27.14,1774930821.3299289,1774930822.0458653
1,10,0.525801,693.228,0.87,312.759,224.901,139.456,27.142,1774930822.101949,1774930822.7980888
1,11,0.496573,617.143,0.873,284.445,176.112,139.608,27.176,1774930822.8484318,1774930823.4687304
1,12,0.470231,619.388,0.876,286.988,176.497,138.693,27.114,1774930823.5189767,1774930824.141381
1,13,0.43936,670.749,0.856,306.223,208.241,139.956,27.144,1774930824.1932485,1774930824.86703
1,14,0.407631,635.506,0.872,291.398,187.6,139.406,27.118,1774930824.9186547,1774930825.557194
1,15,0.37594,678.616,0.871,307.621,216.165,139.209,27.114,1774930825.6592598,1774930826.340705
1,16,0.349203,716.967,0.861,316.339,245.624,138.868,27.1,1774930826.396795,1774930827.116673
1,17,0.318108,617.231,0.866,285.563,176.101,139.181,27.116,1774930827.1697237,1774930827.790002
1,18,0.295283,637.764,0.875,293.027,191.174,138.967,27.103,1774930827.840419,1774930828.4814403
1,19,0.273041,684.209,0.865,311.468,217.727,139.154,27.097,1774930828.5253751,1774930829.2125976
1,20,0.25237,769.447,0.873,337.588,278.087,139.272,27.111,1774930829.2642477,1774930830.0366256
1,21,0.237107,619.678,0.869,287.757,177.427,138.942,27.159,1774930830.0878093,1774930830.710386
1,22,0.221884,746.59,0.869,329.922,261.093,139.074,27.119,1774930830.760356,1774930831.5104024
1,23,0.207932,762.92,0.869,333.91,273.795,139.51,27.122,1774930831.5556452,1774930832.322694
1,24,0.202348,629.608,0.864,289.52,182.594,140.604,27.562,1774930832.374732,1774930833.0073278
1,25,0.194141,546.514,0.858,256.768,134.979,139.539,27.179,1774930833.0547495,1774930833.604501
1,26,0.18414,668.044,0.871,301.412,210.103,139.882,27.136,1774930833.6509893,1774930834.3220835
1,27,0.178296,700.688,0.86,310.364,236.816,139.019,27.102,1774930834.3739207,1774930835.0775182
1,28,0.174721,629.405,0.863,288.947,185.191,139.004,27.128,1774930835.1299992,1774930835.762841
1,29,0.169184,687.426,0.865,309.402,222.524,139.37,27.176,1774930835.807888,1774930836.4984229
1,30,0.167708,628.037,0.877,290.705,183.321,138.704,27.112,1774930836.640816,1774930837.2719688
1,31,0.158795,776.686,0.862,336.286,284.314,139.742,27.131,1774930837.3332436,1774930838.1129897
1,32,0.154067,652.801,0.874,297.62,200.073,139.154,27.102,1774930838.2237945,1774930838.879704
1,33,0.149941,626.463,0.865,286.597,183.576,139.16,27.118,1774930838.9311988,1774930839.5606241
1,34,0.142607,636.38,0.875,293.209,189.34,139.182,27.258,1774930839.606647,1774930840.2458131
1,35,0.140072,625.093,0.88,287.349,182.485,139.336,27.163,1774930840.2976031,1774930840.9254487
1,36,0.138017,538.877,0.868,254.916,129.602,139.139,27.113,1774930840.9711506,1774930841.5128038
1,37,0.128776,551.398,0.86,261.533,136.038,139.435,27.135,1774930841.5610018,1774930842.115139
1,38,0.127996,694.001,0.88,312.191,222.238,139.35,27.175,1774930842.1976464,1774930842.8944225
1,39,0.125026,632.958,0.872,289.526,187.664,139.775,27.149,1774930842.946785,1774930843.5827737
1,40,0.122164,595.469,0.865,276.791,162.88,139.595,27.321,1774930843.6327922,1774930844.2311418
1,41,0.115184,766.749,0.857,336.24,274.32,140.588,27.125,1774930844.286609,1774930845.0565686
1,42,0.116383,557.164,0.863,263.424,138.806,138.826,27.164,1774930845.107515,1774930845.667599
1,43,0.113318,701.196,0.868,312.814,231.337,139.295,27.191,1774930845.7188573,1774930846.4232183
1,44,0.110178,630.974,0.864,290.725,182.705,138.973,27.117,1774930846.475182,1774930847.1087072
