epoch,step,phase,start_time,end_time,duration_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,1,data_transfer,1774930815.5338447,1774930815.5379522,4.107,5068.5,5220.0
1,1,forward,1774930815.5410905,1774930815.9732645,432.174,9894.5,10306.0
1,1,backward,1774930815.9765863,1774930816.258384,281.798,7651.7,10420.0
1,1,ema_update,1774930816.4133172,1774930816.440436,27.119,10199.5,15764.0
1,1,optimizer_step,1774930816.261909,1774930816.4438813,181.972,10199.5,15764.0
1,1,total_step,1774930815.5338094,1774930816.44668,912.871,10181.1,15764.0
1,2,data_transfer,1774930816.5227792,1774930816.52366,0.881,10199.5,15764.0
1,2,forward,1774930816.5271223,1774930816.867224,340.102,16158.3,18012.0
1,2,backward,1774930816.870998,1774930817.1549852,283.987,12763.0,18114.0
1,2,ema_update,1774930817.2669754,1774930817.2941084,27.133,10199.5,18116.0
1,2,optimizer_step,1774930817.1587203,1774930817.298032,139.312,10199.5,18116.0
1,2,total_step,1774930816.522764,1774930817.3015456,778.782,10181.1,18116.0
1,3,data_transfer,1774930817.3774326,1774930817.3788116,1.379,10199.5,18116.0
1,3,forward,1774930817.3823512,1774930817.6370485,254.697,12541.0,18116.0
1,3,backward,1774930817.6444175,1774930817.7726293,128.212,12780.2,18116.0
1,3,ema_update,1774930817.8846905,1774930817.911811,27.121,10199.5,18116.0
1,3,optimizer_step,1774930817.7762744,1774930817.916281,140.007,10199.5,18116.0
1,3,total_step,1774930817.377419,1774930817.91982,542.401,10181.1,18116.0
1,4,data_transfer,1774930817.9752233,1774930817.9760938,0.870,10199.5,18116.0
1,4,forward,1774930817.980636,1774930818.2515898,270.954,13186.0,18116.0
1,4,backward,1774930818.2551231,1774930818.409267,154.144,12760.6,18116.0
1,4,ema_update,1774930818.5214355,1774930818.5485406,27.105,10199.5,18116.0
1,4,optimizer_step,1774930818.4131262,1774930818.5522366,139.110,10199.5,18116.0
1,4,total_step,1774930817.975211,1774930818.556503,581.292,10181.1,18116.0
1,5,data_transfer,1774930818.6026633,1774930818.6035354,0.872,10199.5,18116.0
1,5,forward,1774930818.6070225,1774930818.8925993,285.577,13783.4,18116.0
1,5,backward,1774930818.8985875,1774930819.0738037,175.216,12776.7,18116.0
1,5,ema_update,1774930819.186151,1774930819.213256,27.105,10199.5,18116.0
1,5,optimizer_step,1774930819.0777676,1774930819.2168474,139.080,10199.5,18116.0
1,5,total_step,1774930818.6026504,1774930819.2205565,617.906,10181.1,18116.0
1,6,data_transfer,1774930819.278992,1774930819.279861,0.869,10199.5,18116.0
1,6,forward,1774930819.2833383,1774930819.5432546,259.916,12669.3,18116.0
1,6,backward,1774930819.5468304,1774930819.6814795,134.649,12772.8,18116.0
1,6,ema_update,1774930819.7940629,1774930819.8212287,27.166,10199.5,18116.0
1,6,optimizer_step,1774930819.685392,1774930819.824871,139.479,10199.5,18116.0
1,6,total_step,1774930819.2789798,1774930819.8287795,549.800,10181.1,18116.0
1,7,data_transfer,1774930819.882502,1774930819.883365,0.863,10199.5,18116.0
1,7,forward,1774930819.8867824,1774930820.1987727,311.990,14755.9,18116.0
1,7,backward,1774930820.2025363,1774930820.4280913,225.555,12781.3,18116.0
1,7,ema_update,1774930820.5401797,1774930820.567303,27.123,10199.5,18116.0
1,7,optimizer_step,1774930820.4318416,1774930820.5706484,138.807,10199.5,18116.0
1,7,total_step,1774930819.8824887,1774930820.5742009,691.712,10181.1,18116.0
1,8,data_transfer,1774930820.6287515,1774930820.629615,0.864,10199.5,18116.0
1,8,forward,1774930820.6337454,1774930820.9301276,296.382,14278.8,18116.0
1,8,backward,1774930820.9339557,1774930821.13045,196.494,12766.2,18116.0
1,8,ema_update,1774930821.2423906,1774930821.2695482,27.158,10199.5,18116.0
1,8,optimizer_step,1774930821.1341202,1774930821.2739441,139.824,10199.5,18116.0
1,8,total_step,1774930820.6287396,1774930821.2775524,648.813,10181.1,18116.0
1,9,data_transfer,1774930821.3299427,1774930821.330814,0.871,10199.5,18116.0
1,9,forward,1774930821.3343673,1774930821.6519382,317.571,15147.8,18116.0
1,9,backward,1774930821.6557202,1774930821.8930135,237.293,12777.4,18116.0
1,9,ema_update,1774930822.0050907,1774930822.032231,27.140,10199.5,18116.0
1,9,optimizer_step,1774930821.8964918,1774930822.0359228,139.431,10199.5,18116.0
1,9,total_step,1774930821.3299289,1774930822.0403879,710.459,10181.1,18116.0
1,10,data_transfer,1774930822.1019614,1774930822.1028316,0.870,10199.5,18116.0
1,10,forward,1774930822.1064801,1774930822.4192395,312.759,15062.3,18116.0
1,10,backward,1774930822.4234269,1774930822.6483278,224.901,12768.3,18116.0
1,10,ema_update,1774930822.760482,1774930822.7876236,27.142,10199.5,18116.0
1,10,optimizer_step,1774930822.6520352,1774930822.7914913,139.456,10199.5,18116.0
1,10,total_step,1774930822.101949,1774930822.7951765,693.228,10181.1,18116.0
1,11,data_transfer,1774930822.8484442,1774930822.849317,0.873,10199.5,18116.0
1,11,forward,1774930822.8525975,1774930823.1370428,284.445,13830.8,18116.0
1,11,backward,1774930823.1406536,1774930823.316766,176.112,12777.0,18116.0
1,11,ema_update,1774930823.4302864,1774930823.4574628,27.176,10199.5,18116.0
1,11,optimizer_step,1774930823.3217928,1774930823.461401,139.608,10199.5,18116.0
1,11,total_step,1774930822.8484318,1774930823.465575,617.143,10181.1,18116.0
1,12,data_transfer,1774930823.51899,1774930823.5198658,0.876,10199.5,18116.0
1,12,forward,1774930823.5238404,1774930823.8108282,286.988,13849.5,18116.0
1,12,backward,1774930823.815375,1774930823.9918723,176.497,12775.4,18116.0
1,12,ema_update,1774930824.1043928,1774930824.1315072,27.114,10199.5,18116.0
1,12,optimizer_step,1774930823.9962122,1774930824.134905,138.693,10199.5,18116.0
1,12,total_step,1774930823.5189767,1774930824.1383646,619.388,10181.1,18116.0
1,13,data_transfer,1774930824.1932611,1774930824.194117,0.856,10199.5,18116.0
1,13,forward,1774930824.197308,1774930824.503531,306.223,14822.0,18116.0
1,13,backward,1774930824.5085561,1774930824.7167974,208.241,12774.1,18116.0
1,13,ema_update,1774930824.8285904,1774930824.855734,27.144,10199.5,18116.0
1,13,optimizer_step,1774930824.7202823,1774930824.8602383,139.956,10199.5,18116.0
1,13,total_step,1774930824.1932485,1774930824.863998,670.749,10181.1,18116.0
1,14,data_transfer,1774930824.9186683,1774930824.91954,0.872,10199.5,18116.0
1,14,forward,1774930824.92326,1774930825.2146575,291.398,13994.0,18116.0
1,14,backward,1774930825.2189865,1774930825.4065862,187.600,12777.0,18116.0
1,14,ema_update,1774930825.5190697,1774930825.5461879,27.118,10199.5,18116.0
1,14,optimizer_step,1774930825.4109046,1774930825.5503104,139.406,10199.5,18116.0
1,14,total_step,1774930824.9186547,1774930825.5541606,635.506,10181.1,18116.0
1,15,data_transfer,1774930825.6592727,1774930825.660144,0.871,10199.5,18116.0
1,15,forward,1774930825.6635828,1774930825.9712038,307.621,14799.2,18116.0
1,15,backward,1774930825.9750867,1774930826.1912513,216.165,12776.7,18116.0
1,15,ema_update,1774930826.3031902,1774930826.3303041,27.114,10199.5,18116.0
1,15,optimizer_step,1774930826.1948857,1774930826.3340943,139.209,10199.5,18116.0
1,15,total_step,1774930825.6592598,1774930826.3378756,678.616,10181.1,18116.0
1,16,data_transfer,1774930826.3968065,1774930826.3976676,0.861,10199.5,18116.0
1,16,forward,1774930826.4012547,1774930826.717594,316.339,15263.9,18116.0
1,16,backward,1774930826.7214377,1774930826.9670613,245.624,12773.2,18116.0
1,16,ema_update,1774930827.0794473,1774930827.106547,27.100,10199.5,18116.0
1,16,optimizer_step,1774930826.9709265,1774930827.1097949,138.868,10199.5,18116.0
1,16,total_step,1774930826.396795,1774930827.113762,716.967,10181.1,18116.0
1,17,data_transfer,1774930827.1697369,1774930827.1706026,0.866,10199.5,18116.0
1,17,forward,1774930827.174312,1774930827.4598749,285.563,13818.8,18116.0
1,17,backward,1774930827.4638739,1774930827.6399753,176.101,12775.4,18116.0
1,17,ema_update,1774930827.7523046,1774930827.7794201,27.116,10199.5,18116.0
1,17,optimizer_step,1774930827.6440465,1774930827.7832277,139.181,10199.5,18116.0
1,17,total_step,1774930827.1697237,1774930827.7869546,617.231,10181.1,18116.0
1,18,data_transfer,1774930827.840432,1774930827.8413064,0.875,10199.5,18116.0
1,18,forward,1774930827.8445673,1774930828.1375942,293.027,14035.8,18116.0
1,18,backward,1774930828.1411276,1774930828.3323019,191.174,12775.4,18116.0
1,18,ema_update,1774930828.4436593,1774930828.4707627,27.103,10199.5,18116.0
1,18,optimizer_step,1774930828.33542,1774930828.4743872,138.967,10199.5,18116.0
1,18,total_step,1774930827.840419,1774930828.478183,637.764,10181.1,18116.0
1,19,data_transfer,1774930828.525388,1774930828.5262525,0.865,10199.5,18116.0
1,19,forward,1774930828.5294929,1774930828.8409612,311.468,14910.8,18116.0
1,19,backward,1774930828.8446536,1774930829.0623803,217.727,12760.9,18116.0
1,19,ema_update,1774930829.1749249,1774930829.2020214,27.097,10199.5,18116.0
1,19,optimizer_step,1774930829.066547,1774930829.2057006,139.154,10199.5,18116.0
1,19,total_step,1774930828.5253751,1774930829.2095845,684.209,10181.1,18116.0
1,20,data_transfer,1774930829.2642603,1774930829.265133,0.873,10199.5,18116.0
1,20,forward,1774930829.268585,1774930829.6061726,337.588,15990.7,18116.0
1,20,backward,1774930829.6096065,1774930829.8876936,278.087,12760.5,18116.0
1,20,ema_update,1774930829.9996054,1774930830.0267162,27.111,10199.5,18116.0
1,20,optimizer_step,1774930829.8914146,1774930830.030687,139.272,10199.5,18116.0
1,20,total_step,1774930829.2642477,1774930830.0336945,769.447,10181.1,18116.0
1,21,data_transfer,1774930830.0878217,1774930830.088691,0.869,10199.5,18116.0
1,21,forward,1774930830.0920436,1774930830.379801,287.757,13849.5,18116.0
1,21,backward,1774930830.383717,1774930830.5611444,177.427,12775.4,18116.0
1,21,ema_update,1774930830.6731095,1774930830.7002685,27.159,10199.5,18116.0
1,21,optimizer_step,1774930830.5647693,1774930830.7037115,138.942,10199.5,18116.0
1,21,total_step,1774930830.0878093,1774930830.7074876,619.678,10181.1,18116.0
1,22,data_transfer,1774930830.7603679,1774930830.7612367,0.869,10199.5,18116.0
1,22,forward,1774930830.7645006,1774930831.0944228,329.922,15720.3,18116.0
1,22,backward,1774930831.0985966,1774930831.3596892,261.093,12760.6,18116.0
1,22,ema_update,1774930831.4717174,1774930831.4988368,27.119,10199.5,18116.0
1,22,optimizer_step,1774930831.3634744,1774930831.5025482,139.074,10199.5,18116.0
1,22,total_step,1774930830.760356,1774930831.506946,746.590,10181.1,18116.0
1,23,data_transfer,1774930831.555658,1774930831.556527,0.869,10199.5,18116.0
1,23,forward,1774930831.5599875,1774930831.8938975,333.910,15961.5,18116.0
1,23,backward,1774930831.8979352,1774930832.1717298,273.795,12763.6,18116.0
1,23,ema_update,1774930832.283554,1774930832.3106766,27.122,10199.5,18116.0
1,23,optimizer_step,1774930832.1752017,1774930832.314712,139.510,10199.5,18116.0
1,23,total_step,1774930831.5556452,1774930832.3185651,762.920,10181.1,18116.0
