task_name,loss
Step #1,0.8569298386573792
Step #2,0.7402554750442505
Step #3,0.6976203918457031
Step #4,0.6647148728370667
Step #5,0.6378898024559021
Step #6,0.6194692254066467
Step #7,0.6061602830886841
Step #8,0.5876985192298889
Step #9,0.5679504871368408
Step #10,0.5447213053703308
Step #11,0.5197741985321045
Step #12,0.49458006024360657
Step #13,0.46701306104660034
Step #14,0.43993544578552246
Step #15,0.4110773801803589
Step #16,0.38395923376083374
Step #17,0.3573644161224365
Step #18,0.3292844593524933
Step #19,0.3067496120929718
Step #20,0.28596532344818115
Step #21,0.26518818736076355
Step #22,0.2513320744037628
Step #23,0.2310693860054016
Step #24,0.21972349286079407
Step #25,0.20907288789749146
Step #26,0.19479602575302124
Step #27,0.18223033845424652
Step #28,0.17909309267997742
Step #29,0.17212063074111938
Step #30,0.16583499312400818
Step #31,0.15910333395004272
Step #32,0.15350264310836792
Step #33,0.15481773018836975
Step #34,0.1389172375202179
Step #35,0.1434585452079773
Step #36,0.13921129703521729
Step #37,0.13192778825759888
Step #38,0.1277085393667221
Step #39,0.12113144248723984
Step #40,0.1167554259300232
Step #41,0.11354047805070877
Step #42,0.11059761047363281
Step #43,0.11070308834314346
Step #44,0.10582327842712402
Step #45,0.10186473280191422
Step #46,0.09824128448963165
Step #47,0.09804004430770874
Step #48,0.09587626904249191
Step #49,0.09513229131698608
Step #50,0.08973181247711182
Step #51,0.08864439278841019
Step #52,0.08511242270469666
Step #53,0.08446274697780609
Step #54,0.08522048592567444
Step #55,0.08510603755712509
Step #56,0.08296259492635727
Step #57,0.07620958983898163
Step #58,0.07543094456195831
Step #59,0.07267622649669647
Step #60,0.07074971497058868
Step #61,0.07185858488082886
Step #62,0.06833119690418243
Step #63,0.08008891344070435
Step #64,0.07152307033538818
Step #65,0.06996266543865204
Step #66,0.06399022042751312
Step #67,0.06507549434900284
Step #68,0.06620168685913086
Step #69,0.061300814151763916
Step #70,0.061389196664094925
Step #71,0.05805100500583649
Step #72,0.058416735380887985
Step #73,0.05713125318288803
Step #74,0.05583036690950394
Step #75,0.05472179502248764
Step #76,0.05362536013126373
Step #77,0.05251351371407509
Step #78,0.05138052627444267
Step #79,0.05558810383081436
Step #80,0.04979073256254196
Step #81,0.05102303996682167
Step #82,0.04818348214030266
Step #83,0.047778621315956116
Step #84,0.04727649316191673
Step #85,0.0472186878323555
Step #86,0.04575549066066742
Step #87,0.04893922060728073
Step #88,0.04725692793726921
Step #89,0.04469940438866615
Step #90,0.046235255897045135
Step #91,0.043771788477897644
Step #92,0.04181228578090668
Step #93,0.0426328144967556
Step #94,0.041629351675510406
Step #95,0.041360534727573395
Step #96,0.04017322510480881
Step #97,0.039958655834198
Step #98,0.03988257423043251
Step #99,0.040298838168382645
Step #100,0.039264798164367676
Step #101,0.037751205265522
Step #102,0.0399056077003479
Step #103,0.03971223905682564
Step #104,0.03616029769182205
Step #105,0.036572329699993134
Step #106,0.03558757156133652
Step #107,0.03599599003791809
Step #108,0.03569994866847992
Step #109,0.03523396700620651
Step #110,0.03539913892745972
Step #111,0.03603656217455864
Step #112,0.03552622348070145
Step #113,0.03331850469112396
Step #114,0.03359346091747284
Step #115,0.03405018150806427
Step #116,0.033808305859565735
Step #117,0.03329220414161682
Step #118,0.03503883257508278
Step #119,0.03258347138762474
Step #120,0.03321954607963562
Step #121,0.03274296224117279
Step #122,0.031541578471660614
Step #123,0.030732501298189163
Step #124,0.031163014471530914
Step #125,0.033597469329833984
Step #126,0.03289646655321121
Step #127,0.031205635517835617
Step #128,0.02955443412065506
Step #129,0.028719305992126465
Step #130,0.0318286195397377
Step #131,0.0349729023873806
Step #132,0.03291996940970421
Step #133,0.028488125652074814
Step #134,0.02841830998659134
Step #135,0.0335821732878685
Step #136,0.03222459927201271
Step #137,0.026965836063027382
Step #138,0.028492644429206848
Step #139,0.030949100852012634
Step #140,0.02848990261554718
Step #141,0.02636704221367836
Step #142,0.027218371629714966
Step #143,0.02810714766383171
Step #144,0.027057604864239693
Step #145,0.0251897145062685
Step #146,0.02602841518819332
Step #147,0.026599790900945663
Step #148,0.02617483213543892
Step #149,0.024995803833007812
Step #150,0.024626415222883224
Step #151,0.02496180310845375
Step #152,0.02410868927836418
Step #153,0.023611530661582947
Step #154,0.02486623451113701
Step #155,0.025459295138716698
Step #156,0.025233406573534012
Step #157,0.024204552173614502
Step #158,0.02338804304599762
Step #159,0.023238612338900566
Step #160,0.02330084517598152
Step #161,0.023484550416469574
Step #162,0.024074822664260864
Step #163,0.025523176416754723
Step #164,0.02661931701004505
Step #165,0.0241440087556839
Step #166,0.02264806628227234
Step #167,0.024564744904637337
Step #168,0.025572609156370163
Step #169,0.02205883339047432
Step #170,0.025373615324497223
Step #171,0.029065927490592003
Step #172,0.022466931492090225
Step #173,0.023442469537258148
Step #174,0.02421525865793228
Step #175,0.02195589430630207
Step #176,0.026269402354955673
Step #177,0.02527039311826229
Step #178,0.022287335246801376
Step #179,0.032762907445430756
Step #180,0.024218982085585594
Step #181,0.024306638166308403
Step #182,0.02366006188094616
Step #183,0.023659665137529373
Step #184,0.03146352246403694
Step #185,0.03020101599395275
Step #186,0.023067092522978783
