epoch,step,phase,start_time,end_time,duration_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb,mode,mode_label,batch_size,run_num
1,9,forward,1774931454.6775043,1774931454.8313088,153.804,12036.8,16116.0,finegrained,Mode 3 Fine-Grained,1,1
1,9,backward,1774931454.8347008,1774931454.9504766,115.776,12772.3,16116.0,finegrained,Mode 3 Fine-Grained,1,1
1,9,ema_update,1774931455.062381,1774931455.0894415,27.061,10203.4,16116.0,finegrained,Mode 3 Fine-Grained,1,1
1,9,optimizer_step,1774931454.9541984,1774931455.0926692,138.471,10203.4,16116.0,finegrained,Mode 3 Fine-Grained,1,1
1,9,total_step,1774931454.674214,1774931455.0957236,421.51,10194.2,16116.0,finegrained,Mode 3 Fine-Grained,1,1
1,10,data_transfer,1774931455.1220765,1774931455.122545,0.469,10203.4,16116.0,finegrained,Mode 3 Fine-Grained,1,1
1,10,forward,1774931455.125297,1774931455.308355,183.058,13063.1,16116.0,finegrained,Mode 3 Fine-Grained,1,1
1,10,backward,1774931455.3117568,1774931455.47944,167.683,12773.1,16116.0,finegrained,Mode 3 Fine-Grained,1,1
1,10,ema_update,1774931455.590919,1774931455.61821,27.291,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,10,optimizer_step,1774931455.4826574,1774931455.621318,138.66,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,10,total_step,1774931455.122064,1774931455.6246507,502.587,10194.2,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,11,data_transfer,1774931455.65493,1774931455.6554115,0.482,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,11,forward,1774931455.6584055,1774931455.8133357,154.93,12057.5,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,11,backward,1774931455.8174336,1774931455.938445,121.012,12775.2,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,11,ema_update,1774931456.0503943,1774931456.077806,27.412,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,11,optimizer_step,1774931455.9419994,1774931456.081149,139.15,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,11,total_step,1774931455.6549177,1774931456.0849109,429.993,10194.2,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,12,data_transfer,1774931456.110448,1774931456.1109312,0.483,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,12,forward,1774931456.1134398,1774931456.262169,148.729,11517.2,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,12,backward,1774931456.2656202,1774931456.3648095,99.189,12770.9,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,12,ema_update,1774931456.476519,1774931456.5037556,27.236,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,12,optimizer_step,1774931456.368327,1774931456.506977,138.65,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,12,total_step,1774931456.1104355,1774931456.5101058,399.67,10194.2,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,13,data_transfer,1774931456.5411544,1774931456.5416307,0.476,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,13,forward,1774931456.5449193,1774931456.7057743,160.855,12171.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,13,backward,1774931456.70892,1774931456.834714,125.794,12771.8,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,13,ema_update,1774931456.9464197,1774931456.973679,27.26,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,13,optimizer_step,1774931456.838319,1774931456.9771397,138.821,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,13,total_step,1774931456.5411415,1774931456.9806871,439.546,10194.2,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,14,data_transfer,1774931457.007823,1774931457.0082996,0.477,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,14,forward,1774931457.0111065,1774931457.2017753,190.669,13270.8,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,14,backward,1774931457.2063148,1774931457.3811903,174.876,12772.8,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,14,ema_update,1774931457.492822,1774931457.5200264,27.205,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,14,optimizer_step,1774931457.3846235,1774931457.523243,138.619,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,14,total_step,1774931457.00781,1774931457.5265825,518.772,10194.2,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,15,data_transfer,1774931457.5533004,1774931457.5537825,0.482,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,15,forward,1774931457.5566285,1774931457.7330709,176.442,12753.9,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,15,backward,1774931457.7363386,1774931457.8886342,152.296,12785.5,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,15,ema_update,1774931458.0005486,1774931458.0278082,27.26,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,15,optimizer_step,1774931457.8922148,1774931458.0312476,139.033,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,15,total_step,1774931457.553288,1774931458.034579,481.291,10194.2,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,16,data_transfer,1774931458.0587714,1774931458.0592432,0.472,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,16,forward,1774931458.0618875,1774931458.221181,159.293,12049.3,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,16,backward,1774931458.22495,1774931458.341878,116.928,12780.3,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,16,ema_update,1774931458.4542449,1774931458.4815116,27.267,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,16,optimizer_step,1774931458.3453677,1774931458.484988,139.62,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,16,total_step,1774931458.0587587,1774931458.4892485,430.49,10194.2,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,17,data_transfer,1774931458.5231853,1774931458.523666,0.481,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,17,forward,1774931458.5266678,1774931458.6951258,168.458,12633.8,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,17,backward,1774931458.699147,1774931458.84514,145.993,12785.5,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,17,ema_update,1774931458.9569187,1774931458.9841526,27.234,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,17,optimizer_step,1774931458.8486795,1774931458.9876316,138.952,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,17,total_step,1774931458.523173,1774931458.9909122,467.739,10194.2,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,18,data_transfer,1774931459.0240853,1774931459.024565,0.48,10203.4,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,18,forward,1774931459.02746,1774931459.2159903,188.531,13373.3,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,18,backward,1774931459.2194152,1774931459.393333,173.918,12790.7,16168.0,finegrained,Mode 3 Fine-Grained,1,1
1,18,ema_update,1774931459.5053785,1774931459.5325873,27.209,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,18,optimizer_step,1774931459.3971076,1774931459.5355575,138.45,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,18,total_step,1774931459.0240726,1774931459.5385993,514.527,10194.2,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,19,data_transfer,1774931459.5683246,1774931459.5688026,0.478,10203.4,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,19,forward,1774931459.5716505,1774931459.717471,145.82,11729.1,16240.0,finegrained,Mode 3 Fine-Grained,1,1
1,19,backward,1774931459.720764,1774931459.8235612,102.797,12769.5,16240.0,finegrained,Mode 3 Fine-Grained,1,1
