mode,mode_label,batch_size,num_runs,mean_wall_clock_s,std_wall_clock_s,mean_throughput_steps_per_s,std_throughput_steps_per_s,mean_throughput_samples_per_s,std_throughput_samples_per_s,mean_gpu_energy_kwh,std_gpu_energy_kwh,baseline_throughput_steps_per_s,baseline_wall_clock_s,throughput_ratio_vs_baseline,throughput_ratio_std_vs_baseline,wall_clock_delta_s_vs_baseline
baseline,Mode 1 Baseline,2,3,318.656,6.331832988953523,1.3186964442588172,0.07215517616563531,2.6373928885176343,0.14431035233127062,,,1.3186964442588172,318.656,1.0,0.05471704764184046,0.0
codecarbon,Mode 2 CodeCarbon,2,3,319.57133333333337,0.21449087004656134,1.3653690597446986,0.008608015409817113,2.730738119489397,0.017216030819634225,0.015708266362899733,4.592398657348549e-05,1.3186964442588172,318.656,1.0353929941110247,0.006527670145235972,0.9153333333333649
finegrained,Mode 3 Fine-Grained,2,3,316.92466666666667,0.9115971332410557,1.3683751218026685,0.01021718822639148,2.736750243605337,0.02043437645278296,0.0162356107662541,4.5271145245939896e-05,1.3186964442588172,318.656,1.03767256502445,0.00774794553429931,-1.731333333333339
baseline,Mode 1 Baseline,1,3,315.03566666666666,1.630423973490742,1.995969492416543,0.12471993184693521,1.995969492416543,0.12471993184693521,,,1.995969492416543,315.03566666666666,1.0,0.0624858908519365,0.0
codecarbon,Mode 2 CodeCarbon,1,3,319.64966666666663,0.20511541466532965,1.9208577015239543,0.012377624895958523,1.9208577015239543,0.012377624895958523,0.0147749535792153,3.118376192935692e-05,1.995969492416543,315.03566666666666,0.9623682670612115,0.006201309660786845,4.613999999999976
finegrained,Mode 3 Fine-Grained,1,3,317.43766666666664,0.27121639576790335,1.921643845901502,0.012845933526271438,1.921643845901502,0.012845933526271438,0.0155916421955263,0.000127845878701929,1.995969492416543,315.03566666666666,0.9627621329897913,0.006435936809193772,2.401999999999987
