batch_size,start_s,end_s,duration_s,mean_gpu_utilization_pct,mean_cpu_utilization_pct,mean_gpu_power_w,threshold_gpu_utilization_pct
1,0.0,3.5,3.5,73.75,0.5249999999999999,151.388125,95.0
1,5.5,15.0,9.5,85.98333333333333,0.5883333333333332,193.10081666666667,95.0
1,17.0,21.5,4.5,86.21666666666667,0.5783333333333333,194.37776666666667,95.0
1,22.5,24.0,1.5,84.04166666666667,0.5625,194.94729166666667,95.0
1,25.0,28.0,3.0,85.47619047619048,0.6,194.84261904761905,95.0
1,29.0,31.0,2.0,87.06666666666666,0.5866666666666667,190.03979999999999,95.0
1,32.0,41.0,9.0,87.01754385964912,0.5842105263157894,195.5353684210526,95.0
1,42.0,49.5,7.5,86.33333333333333,0.5916666666666666,193.6535833333333,95.0
1,54.0,55.0,1.0,88.33333333333333,0.6,191.4566666666667,95.0
1,56.0,62.0,6.0,86.12820512820514,0.5923076923076922,194.5729487179487,95.0
1,64.5,70.5,6.0,85.66666666666667,0.5974358974358973,192.22493589743593,95.0
1,71.5,88.5,17.0,86.88571428571427,0.5961904761904762,194.45457142857143,95.0
1,90.0,95.0,5.0,89.30303030303031,0.5969696969696968,193.34539393939394,95.0
1,96.0,105.0,9.0,86.7017543859649,0.5912280701754385,193.91529824561403,95.0
1,107.0,114.5,7.5,85.01041666666666,0.5874999999999999,191.80477083333332,95.0
1,115.5,118.0,2.5,83.86111111111111,0.5833333333333334,197.18705555555553,95.0
1,119.0,124.0,5.0,87.57575757575756,0.5727272727272726,195.7671818181818,95.0
1,125.0,126.0,1.0,85.77777777777777,0.5777777777777777,193.75444444444443,95.0
1,127.0,130.0,3.0,87.19047619047618,0.5999999999999999,193.37009523809525,95.0
1,134.0,149.0,15.0,87.54838709677419,0.5956989247311829,193.82208602150538,95.0
1,150.0,151.5,1.5,92.25,0.5833333333333333,193.21675,95.0
1,155.5,161.5,6.0,89.10256410256412,0.5974358974358973,193.82576923076925,95.0
1,162.5,186.0,23.5,85.22569444444444,0.5892361111111111,194.57888194444445,95.0
1,194.0,197.0,3.0,90.33333333333334,0.5904761904761904,193.43633333333332,95.0
1,198.5,202.5,4.0,87.94444444444443,0.5814814814814814,194.31642592592593,95.0
1,203.5,206.0,2.5,87.58333333333333,0.6138888888888889,190.34744444444445,95.0
1,209.0,223.0,14.0,84.32183908045978,0.5977011494252874,192.3879195402299,95.0
1,228.5,229.5,1.0,84.44444444444444,0.5888888888888889,191.54888888888888,95.0
1,233.5,240.5,7.0,84.42222222222223,0.5977777777777776,194.9590444444444,95.0
1,244.5,248.0,3.5,89.72916666666666,0.5874999999999999,194.31466666666665,95.0
1,249.0,251.5,2.5,86.30555555555554,0.5833333333333334,197.32044444444443,95.0
1,252.5,259.0,6.5,86.35714285714286,0.6047619047619046,194.54233333333335,95.0
1,260.0,261.5,1.5,89.83333333333333,0.5916666666666667,193.5164166666667,95.0
1,262.5,263.5,1.0,88.8888888888889,0.5888888888888889,193.46833333333333,95.0
1,264.5,282.0,17.5,85.88888888888887,0.588888888888889,193.5955277777778,95.0
1,283.0,285.0,2.0,91.73333333333332,0.5866666666666667,194.74880000000002,95.0
1,291.5,292.5,1.0,91.1111111111111,0.6,192.989,95.0
1,295.5,300.0,4.5,84.45333333333333,0.5896666666666667,190.53374000000002,95.0
2,0.0,1.0,1.0,52.444444444444436,0.6333333333333333,83.39155555555556,95.0
2,4.0,5.0,1.0,86.33333333333333,0.9444444444444443,197.4316666666667,95.0
2,9.5,11.0,1.5,87.08333333333333,0.9583333333333333,196.036,95.0
2,17.0,18.5,1.5,84.5,0.9249999999999999,199.29816666666665,95.0
2,20.5,21.5,1.0,77.83333333333333,0.938888888888889,191.19394444444444,95.0
2,29.5,30.5,1.0,82.33333333333333,0.8555555555555555,195.57544444444443,95.0
2,36.0,37.0,1.0,83.0,0.7999999999999999,202.63544444444446,95.0
2,38.0,40.5,2.5,91.44444444444446,0.7833333333333332,204.29083333333332,95.0
2,42.0,43.0,1.0,82.44444444444446,0.7888888888888888,198.715,95.0
2,47.0,50.0,3.0,84.42857142857142,0.8142857142857142,198.06385714285713,95.0
2,51.0,52.0,1.0,83.1111111111111,0.811111111111111,198.99977777777778,95.0
2,56.5,59.0,2.5,86.6111111111111,0.8277777777777776,197.82783333333336,95.0
2,61.5,63.5,2.0,90.06666666666666,0.8066666666666666,200.95520000000002,95.0
2,64.5,65.5,1.0,83.5,0.8111111111111112,200.92422222222226,95.0
2,66.5,68.0,1.5,79.20833333333333,0.7666666666666666,199.96845833333333,95.0
2,69.0,70.0,1.0,87.0,0.7777777777777777,201.15499999999997,95.0
2,71.0,72.5,1.5,86.0,0.7916666666666667,198.65066666666664,95.0
2,74.5,75.5,1.0,87.66666666666667,0.7777777777777777,201.03522222222225,95.0
2,76.5,78.0,1.5,87.91666666666667,0.7916666666666666,203.9099166666667,95.0
2,80.5,81.5,1.0,80.22222222222223,0.7888888888888888,201.89711111111112,95.0
2,82.5,85.0,2.5,86.05555555555554,0.811111111111111,202.15722222222226,95.0
2,86.0,94.0,8.0,83.80392156862746,0.8098039215686273,201.24088235294118,95.0
2,101.0,103.0,2.0,87.0,0.7999999999999999,201.61686666666665,95.0
2,104.5,106.0,1.5,83.25,0.8083333333333333,200.89983333333336,95.0
2,111.0,114.5,3.5,86.16666666666666,0.8041666666666666,202.46420833333332,95.0
2,116.5,117.5,1.0,85.66666666666667,0.8222222222222223,201.12222222222223,95.0
2,118.5,119.5,1.0,84.8888888888889,0.7999999999999999,200.62066666666666,95.0
2,125.5,128.5,3.0,85.09523809523809,0.7999999999999998,199.5147142857143,95.0
2,130.5,131.5,1.0,77.8888888888889,0.811111111111111,194.54788888888888,95.0
2,132.5,133.5,1.0,86.88888888888887,0.7999999999999999,200.74800000000002,95.0
2,134.5,135.5,1.0,83.33333333333333,0.8000000000000002,202.80377777777778,95.0
2,136.5,137.5,1.0,79.77777777777777,0.7888888888888888,201.9507777777778,95.0
2,141.5,143.0,1.5,85.83333333333333,0.8166666666666667,200.347,95.0
2,146.0,148.0,2.0,87.6,0.7933333333333332,201.0395333333333,95.0
2,149.0,150.0,1.0,90.22222222222221,0.7888888888888889,203.5511111111111,95.0
2,154.5,155.5,1.0,82.94444444444444,0.7333333333333334,198.93583333333336,95.0
2,156.5,157.5,1.0,81.88888888888887,0.7777777777777777,204.8231111111111,95.0
2,160.0,161.0,1.0,87.66666666666667,0.7888888888888888,202.75311111111114,95.0
2,163.0,165.0,2.0,91.06666666666665,0.8066666666666666,201.08406666666667,95.0
2,167.5,168.5,1.0,81.44444444444444,0.8666666666666667,200.52955555555556,95.0
2,169.5,178.0,8.5,83.92592592592594,0.7925925925925925,199.41670370370372,95.0
2,179.0,180.0,1.0,83.55555555555556,0.7555555555555555,199.11444444444444,95.0
2,181.5,182.5,1.0,83.33333333333333,0.7444444444444445,201.49788888888887,95.0
2,183.5,186.5,3.0,83.90476190476191,0.7714285714285715,198.00314285714285,95.0
2,189.0,191.0,2.0,87.06666666666666,0.8266666666666668,196.74206666666666,95.0
2,192.5,196.5,4.0,87.5925925925926,0.7703703703703703,202.66862962962963,95.0
2,197.5,198.5,1.0,81.66666666666667,0.7444444444444445,200.36111111111111,95.0
2,205.0,206.5,1.5,87.58333333333333,0.7916666666666666,201.52025,95.0
2,212.5,213.5,1.0,80.22222222222221,0.7666666666666666,200.242,95.0
2,218.0,219.0,1.0,81.66666666666667,0.7888888888888888,197.03088888888888,95.0
2,220.0,222.5,2.5,83.72222222222221,0.7833333333333332,197.67994444444443,95.0
2,223.5,226.0,2.5,84.94444444444444,0.7888888888888888,199.22316666666666,95.0
2,234.0,235.0,1.0,80.77777777777779,0.7555555555555555,200.67033333333333,95.0
2,239.5,242.0,2.5,85.5,0.7833333333333332,199.39583333333334,95.0
2,243.5,245.0,1.5,89.83333333333333,0.7916666666666666,204.68591666666666,95.0
2,249.5,253.5,4.0,88.03703703703702,0.774074074074074,202.36929629629628,95.0
2,256.0,257.0,1.0,89.55555555555556,0.7777777777777777,201.79444444444445,95.0
2,258.0,259.0,1.0,83.66666666666667,0.7888888888888888,201.96155555555552,95.0
2,263.5,265.0,1.5,83.0,0.6000000000000001,200.83208333333332,95.0
2,266.0,268.0,2.0,86.93333333333334,0.5933333333333334,201.07633333333337,95.0
2,269.0,271.5,2.5,84.77777777777779,0.5944444444444444,200.9902222222222,95.0
2,275.5,276.5,1.0,88.8888888888889,0.5888888888888889,200.45400000000004,95.0
2,277.5,280.5,3.0,85.04761904761905,0.6047619047619047,199.77214285714288,95.0
2,283.5,285.0,1.5,87.33333333333333,0.575,200.30508333333333,95.0
2,286.0,287.5,1.5,86.41666666666667,0.625,201.95825000000002,95.0
2,293.5,294.5,1.0,85.8888888888889,0.5888888888888889,202.3421111111111,95.0
2,295.5,298.0,2.5,85.44444444444446,0.5888888888888889,202.46366666666665,95.0
2,299.0,300.0,1.0,85.97222222222223,0.5722222222222222,203.18308333333334,95.0
