mode,mode_label,batch_size,phase,mean_duration_ms,std_duration_ms,num_runs,time_fraction_pct
finegrained,Mode 3 Fine-Grained,1,backward,137.1011178760664,1.8355034113670643,3,29.184056915799882
finegrained,Mode 3 Fine-Grained,1,data_transfer,0.47841366298796384,0.0033533393016333805,3,0.10183762019036302
finegrained,Mode 3 Fine-Grained,1,ema_update,27.001134131502337,0.050267751300146046,3,5.7476018247876866
finegrained,Mode 3 Fine-Grained,1,forward,166.1001739873384,1.3022650785306806,3,35.35694680296233
finegrained,Mode 3 Fine-Grained,1,optimizer_step,139.10003512460153,0.08717569624258337,3,29.60955683625974
finegrained,Mode 3 Fine-Grained,2,backward,188.7149117136427,2.1023019758111854,3,29.19337795836076
finegrained,Mode 3 Fine-Grained,2,data_transfer,0.8692181152430964,0.0007685847597070133,3,0.13446427066161323
finegrained,Mode 3 Fine-Grained,2,ema_update,27.105189093702,0.06756841915917819,3,4.193055136236358
finegrained,Mode 3 Fine-Grained,2,forward,290.57738641446076,3.249296277304015,3,44.95106078645264
finegrained,Mode 3 Fine-Grained,2,optimizer_step,139.16383785946485,0.1752846721627076,3,21.528041848288616
