epoch,step,loss,total_step_ms,data_transfer_ms,forward_ms,backward_ms,optimizer_step_ms,ema_update_ms,step_start_time,step_end_time
1,55,0.147041,642.066,0.87,295.254,190.337,140.168,27.251,1774931170.878236,1774931171.5233333
1,56,0.141529,657.693,0.882,300.623,203.23,139.075,27.139,1774931171.568863,1774931172.2293117
1,57,0.140989,625.575,0.865,289.94,179.549,138.94,27.137,1774931172.2714694,1774931172.9000332
1,58,0.138011,627.77,0.863,291.608,181.0,139.159,27.087,1774931172.9502265,1774931173.581152
1,59,0.135425,706.029,0.859,316.059,235.807,139.15,27.171,1774931173.6267831,1774931174.3358483
1,60,0.133101,661.618,0.871,302.653,204.113,138.903,27.097,1774931174.3869963,1774931175.0519004
1,61,0.128211,558.191,0.865,265.966,137.666,139.558,27.128,1774931175.0970135,1774931175.6576498
1,62,0.125227,709.347,0.868,320.712,233.706,139.046,27.122,1774931175.7096646,1774931176.4220932
1,63,0.125391,735.524,0.865,330.396,250.23,139.151,27.163,1774931176.5219219,1774931177.2604616
1,64,0.121058,658.434,0.874,300.566,203.389,139.198,27.143,1774931177.304253,1774931177.9657006
1,65,0.119408,704.463,0.866,317.93,230.976,139.221,27.113,1774931178.0170174,1774931178.7244475
1,66,0.117062,516.844,0.875,249.192,112.275,139.013,27.314,1774931178.7721512,1774931179.292135
1,67,0.115119,621.781,0.876,288.159,176.477,139.196,27.129,1774931179.3470094,1774931179.9718325
1,68,0.112571,570.649,0.865,269.92,146.534,139.379,27.091,1774931180.0237007,1774931180.597237
1,69,0.109067,659.934,0.866,299.766,204.684,138.413,27.101,1774931180.6467803,1774931181.3096046
1,70,0.107902,561.892,0.875,266.33,141.346,139.136,27.164,1774931181.361766,1774931181.9266586
1,71,0.105787,624.809,0.867,288.043,178.591,140.0,27.106,1774931181.9778414,1774931182.6053596
1,72,0.10308,638.464,0.866,295.318,185.983,139.293,27.133,1774931182.655466,1774931183.2971601
