epoch,step,phase,start_time,end_time,duration_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,1,data_transfer,1774931132.7682202,1774931132.7724032,4.183,5068.5,5220.0
1,1,forward,1774931132.7748795,1774931133.206898,432.019,8672.3,9236.0
1,1,backward,1774931133.2104783,1774931133.4571047,246.626,7663.2,10918.0
1,1,ema_update,1774931133.618119,1774931133.6452663,27.147,10200.9,17122.0
1,1,optimizer_step,1774931133.4602237,1774931133.6489825,188.759,10200.9,17122.0
1,1,total_step,1774931132.7681928,1774931133.6512454,883.053,10182.5,17122.0
1,2,data_transfer,1774931133.7334294,1774931133.734316,0.887,10200.9,17122.0
1,2,forward,1774931133.73731,1774931134.0329776,295.668,14104.9,17246.0
1,2,backward,1774931134.0367005,1774931134.2268705,190.170,12766.2,17246.0
1,2,ema_update,1774931134.338107,1774931134.365223,27.116,10200.9,17250.0
1,2,optimizer_step,1774931134.2298403,1774931134.36863,138.790,10200.9,17250.0
1,2,total_step,1774931133.7334116,1774931134.3717434,638.332,10182.5,17250.0
1,3,data_transfer,1774931134.4457283,1774931134.4466105,0.882,10200.9,17250.0
1,3,forward,1774931134.4497347,1774931134.7148733,265.139,12871.7,17250.0
1,3,backward,1774931134.7186708,1774931134.8634691,144.798,12780.9,17250.0
1,3,ema_update,1774931134.9755378,1774931135.0026932,27.155,10200.9,17250.0
1,3,optimizer_step,1774931134.8672547,1774931135.0059836,138.729,10200.9,17250.0
1,3,total_step,1774931134.4457145,1774931135.0091226,563.408,10182.5,17250.0
1,4,data_transfer,1774931135.055985,1774931135.056847,0.862,10200.9,17250.0
1,4,forward,1774931135.06033,1774931135.4041302,343.800,16060.8,19324.0
1,4,backward,1774931135.4075458,1774931135.6886225,281.077,12763.0,19456.0
1,4,ema_update,1774931135.8012033,1774931135.8284216,27.218,10200.9,19456.0
1,4,optimizer_step,1774931135.692716,1774931135.8318646,139.149,10200.9,19456.0
1,4,total_step,1774931135.055972,1774931135.836381,780.409,10182.5,19456.0
1,5,data_transfer,1774931135.8866591,1774931135.887524,0.865,10200.9,19456.0
1,5,forward,1774931135.8909137,1774931136.1860244,295.111,14016.3,19456.0
1,5,backward,1774931136.1899114,1774931136.3811831,191.272,12764.3,19456.0
1,5,ema_update,1774931136.4935136,1774931136.5206933,27.180,10200.9,19456.0
1,5,optimizer_step,1774931136.3851366,1774931136.5241823,139.046,10200.9,19456.0
1,5,total_step,1774931135.8866441,1774931136.5274704,640.826,10182.5,19456.0
1,6,data_transfer,1774931136.575309,1774931136.5761826,0.874,10200.9,19456.0
1,6,forward,1774931136.5796018,1774931136.8414292,261.827,12554.4,19456.0
1,6,backward,1774931136.8450942,1774931136.9764278,131.334,12769.8,19456.0
1,6,ema_update,1774931137.0881186,1774931137.1152182,27.100,10200.9,19456.0
1,6,optimizer_step,1774931136.9798615,1774931137.118607,138.746,10200.9,19456.0
1,6,total_step,1774931136.5752964,1774931137.1217284,546.432,10182.5,19456.0
1,7,data_transfer,1774931137.1705103,1774931137.1713727,0.862,10200.9,19456.0
1,7,forward,1774931137.1743846,1774931137.4349554,260.571,12461.8,19456.0
1,7,backward,1774931137.4384904,1774931137.564276,125.786,12764.6,19456.0
1,7,ema_update,1774931137.6763701,1774931137.7034922,27.122,10200.9,19456.0
1,7,optimizer_step,1774931137.5680048,1774931137.7067556,138.751,10200.9,19456.0
1,7,total_step,1774931137.1704962,1774931137.709984,539.488,10182.5,19456.0
1,8,data_transfer,1774931137.7570825,1774931137.7579644,0.882,10200.9,19456.0
1,8,forward,1774931137.7611372,1774931138.104063,342.926,16051.5,19456.0
1,8,backward,1774931138.1080818,1774931138.3891315,281.050,12762.9,19456.0
1,8,ema_update,1774931138.5023396,1774931138.529447,27.107,10200.9,19456.0
1,8,optimizer_step,1774931138.3938422,1774931138.5326376,138.795,10200.9,19456.0
1,8,total_step,1774931137.7570693,1774931138.5359163,778.847,10182.5,19456.0
1,9,data_transfer,1774931138.5898936,1774931138.5907674,0.874,10200.9,19456.0
1,9,forward,1774931138.5938642,1774931138.8521967,258.332,12409.7,19456.0
1,9,backward,1774931138.8555214,1774931138.9788392,123.318,12766.5,19456.0
1,9,ema_update,1774931139.0906813,1774931139.1177838,27.102,10200.9,19456.0
1,9,optimizer_step,1774931138.9824872,1774931139.1217217,139.235,10200.9,19456.0
1,9,total_step,1774931138.5898802,1774931139.125571,535.691,10182.5,19456.0
1,10,data_transfer,1774931139.1834717,1774931139.1843483,0.877,10200.9,19456.0
1,10,forward,1774931139.1874394,1774931139.4635797,276.140,13216.5,19456.0
1,10,backward,1774931139.4669197,1774931139.6234143,156.495,12775.8,19456.0
1,10,ema_update,1774931139.7352183,1774931139.7623641,27.146,10200.9,19456.0
1,10,optimizer_step,1774931139.6268723,1774931139.7661242,139.252,10200.9,19456.0
1,10,total_step,1774931139.1834583,1774931139.7692869,585.829,10182.5,19456.0
1,11,data_transfer,1774931139.8155923,1774931139.8164647,0.872,10200.9,19456.0
1,11,forward,1774931139.819298,1774931140.071673,252.375,12084.1,19456.0
1,11,backward,1774931140.0752192,1774931140.1924777,117.259,12767.1,19456.0
1,11,ema_update,1774931140.304081,1774931140.3312066,27.126,10200.9,19456.0
1,11,optimizer_step,1774931140.195731,1774931140.3346496,138.919,10200.9,19456.0
1,11,total_step,1774931139.8155787,1774931140.338354,522.775,10182.5,19456.0
1,12,data_transfer,1774931140.3918629,1774931140.3927264,0.864,10200.9,19456.0
1,12,forward,1774931140.3959715,1774931140.7198439,323.872,15052.7,19456.0
1,12,backward,1774931140.7237644,1774931140.958362,234.598,12767.1,19456.0
1,12,ema_update,1774931141.0704715,1774931141.0976024,27.131,10200.9,19456.0
1,12,optimizer_step,1774931140.9620821,1774931141.1009693,138.887,10200.9,19456.0
1,12,total_step,1774931140.3918502,1774931141.1044037,712.554,10182.5,19456.0
1,13,data_transfer,1774931141.1553068,1774931141.1561797,0.873,10200.9,19456.0
1,13,forward,1774931141.159055,1774931141.4483535,289.299,13852.5,19456.0
1,13,backward,1774931141.452314,1774931141.6317759,179.462,12774.9,19456.0
1,13,ema_update,1774931141.7433634,1774931141.7704916,27.128,10200.9,19456.0
1,13,optimizer_step,1774931141.6351752,1774931141.774013,138.838,10200.9,19456.0
1,13,total_step,1774931141.1552913,1774931141.7776182,622.327,10182.5,19456.0
1,14,data_transfer,1774931141.8362706,1774931141.8371422,0.872,10200.9,19456.0
1,14,forward,1774931141.840408,1774931142.1332245,292.816,13855.4,19456.0
1,14,backward,1774931142.1369407,1774931142.3167446,179.804,12774.8,19456.0
1,14,ema_update,1774931142.4284658,1774931142.455609,27.143,10200.9,19456.0
1,14,optimizer_step,1774931142.3201423,1774931142.4604583,140.316,10200.9,19456.0
1,14,total_step,1774931141.836258,1774931142.464097,627.839,10182.5,19456.0
1,15,data_transfer,1774931142.5171745,1774931142.5180404,0.866,10200.9,19456.0
1,15,forward,1774931142.5218132,1774931142.7820513,260.238,12407.0,19456.0
1,15,backward,1774931142.7903907,1774931142.9130793,122.689,12768.9,19456.0
1,15,ema_update,1774931143.0246265,1774931143.0533803,28.754,10200.9,19456.0
1,15,optimizer_step,1774931142.9163756,1774931143.0571845,140.809,10200.9,19456.0
1,15,total_step,1774931142.517161,1774931143.0615563,544.395,10182.5,19456.0
1,16,data_transfer,1774931143.1122022,1774931143.1130774,0.875,10200.9,19456.0
1,16,forward,1774931143.1162362,1774931143.3996365,283.400,13592.0,19456.0
1,16,backward,1774931143.4031115,1774931143.5703285,167.217,12769.9,19456.0
1,16,ema_update,1774931143.6822302,1774931143.7093496,27.119,10200.9,19456.0
1,16,optimizer_step,1774931143.573747,1774931143.712706,138.959,10200.9,19456.0
1,16,total_step,1774931143.1121898,1774931143.716303,604.113,10182.5,19456.0
1,17,data_transfer,1774931143.8091464,1774931143.8100195,0.873,10200.9,19456.0
1,17,forward,1774931143.8134098,1774931144.132064,318.654,14974.8,19456.0
1,17,backward,1774931144.1357634,1774931144.3646855,228.922,12763.6,19456.0
1,17,ema_update,1774931144.4768972,1774931144.5040338,27.137,10200.9,19456.0
1,17,optimizer_step,1774931144.368105,1774931144.5081358,140.031,10200.9,19456.0
