epoch,step,loss,total_step_ms,data_transfer_ms,forward_ms,backward_ms,optimizer_step_ms,ema_update_ms,step_start_time,step_end_time
1,1,0.848181,806.784,4.35,396.632,206.865,185.841,27.028,1774930498.3280907,1774930499.1378596
1,2,0.726433,653.842,0.852,296.904,202.463,138.916,26.996,1774930499.211915,1774930499.8688195
1,3,0.680177,626.615,0.863,287.426,182.04,138.498,26.995,1774930499.9379785,1774930500.567563
1,4,0.643847,751.512,0.865,330.995,264.55,138.917,27.064,1774930500.6290894,1774930501.3834877
1,5,0.624496,637.706,0.864,291.616,188.798,140.23,27.031,1774930501.4405832,1774930502.0814886
1,6,0.606494,681.57,0.854,308.319,219.234,139.051,26.995,1774930502.1354392,1774930502.8203013
1,7,0.589234,616.73,0.855,284.23,177.4,138.58,27.024,1774930502.86633,1774930503.4859138
1,8,0.570479,709.369,0.862,318.842,237.032,138.998,26.992,1774930503.5354984,1774930504.247918
1,9,0.547813,620.315,0.861,287.569,178.47,139.095,27.002,1774930504.2967882,1774930504.9202344
1,10,0.52178,594.13,0.857,276.635,163.855,138.853,26.933,1774930504.9692535,1774930505.5664
1,11,0.494918,645.475,0.873,294.25,194.686,139.009,26.962,1774930505.6210473,1774930506.2700198
1,12,0.464165,532.324,0.873,254.737,123.318,138.616,27.035,1774930506.3249178,1774930506.8606925
1,13,0.433745,613.078,0.866,283.054,176.319,138.781,27.021,1774930506.915928,1774930507.5320024
1,14,0.403734,564.053,0.871,265.526,144.429,139.38,26.959,1774930507.5793107,1774930508.1465378
1,15,0.372952,617.437,0.869,285.725,177.961,138.938,26.983,1774930508.2025926,1774930508.8229783
1,16,0.345267,618.05,0.869,283.865,178.044,139.843,27.02,1774930508.8858716,1774930509.5069406
1,17,0.315405,547.548,0.874,258.377,131.649,138.844,26.962,1774930509.5596058,1774930510.1101828
1,18,0.29127,601.735,0.874,278.474,164.092,139.01,26.998,1774930510.1688828,1774930510.7737775
1,19,0.266203,641.475,0.858,292.99,195.25,138.274,26.922,1774930510.8284652,1774930511.4753458
1,20,0.24468,686.075,0.87,309.279,222.911,138.57,26.983,1774930511.5323765,1774930512.2214744
1,21,0.225363,539.77,0.859,255.526,125.884,139.052,26.993,1774930512.2714496,1774930512.8144922
1,22,0.210633,714.819,0.861,319.489,240.241,138.588,27.013,1774930512.9135818,1774930513.6346052
1,23,0.196837,552.037,0.865,257.487,140.079,139.28,27.054,1774930513.6929526,1774930514.2481637
1,24,0.188745,594.94,0.866,276.395,164.501,138.898,26.926,1774930514.3069239,1774930514.9056745
1,25,0.179885,609.464,0.864,280.647,175.62,138.685,26.948,1774930514.964449,1774930515.5776124
1,26,0.178364,555.923,0.863,261.987,138.535,139.051,27.134,1774930515.6335552,1774930516.1930916
1,27,0.175655,627.496,0.87,289.665,182.868,139.222,26.963,1774930516.250571,1774930516.881176
1,28,0.160475,767.2,0.868,333.723,280.128,138.746,26.995,1774930516.927134,1774930517.6971288
1,29,0.154368,676.53,0.861,305.935,216.018,140.429,26.956,1774930517.7534046,1774930518.432767
1,30,0.147889,547.925,0.858,259.208,135.383,138.773,26.965,1774930518.4916308,1774930519.0425954
1,31,0.141098,587.775,0.872,271.936,162.021,138.889,26.97,1774930519.0985618,1774930519.6893363
1,32,0.137647,551.621,0.877,261.556,136.582,138.946,27.007,1774930519.75216,1774930520.306882
1,33,0.130457,605.335,0.864,277.824,174.325,138.585,26.989,1774930520.3586183,1774930520.9668024
1,34,0.129049,781.153,0.868,340.918,287.179,138.969,26.947,1774930521.029674,1774930521.8136387
1,35,0.12808,561.045,0.855,263.247,143.016,139.389,26.997,1774930521.8673332,1774930522.4313731
1,36,0.119387,620.457,0.865,286.59,177.061,138.293,26.979,1774930522.4907753,1774930523.1133394
1,37,0.11986,550.481,0.868,261.41,136.202,138.579,27.039,1774930523.1713116,1774930523.7240095
1,38,0.108914,608.461,0.857,281.246,174.831,138.518,27.027,1774930523.7775636,1774930524.3887355
1,39,0.111293,574.789,0.85,270.455,151.177,138.526,26.942,1774930524.4372482,1774930525.0179129
1,40,0.104064,656.167,0.871,296.919,200.953,138.756,26.945,1774930525.077601,1774930525.7375088
1,41,0.103362,635.974,0.859,292.139,189.587,138.899,26.984,1774930525.7979882,1774930526.4369311
1,42,0.096697,631.069,0.871,289.883,187.005,138.508,26.964,1774930526.4896948,1774930527.1264791
1,43,0.096347,693.469,0.869,312.353,224.977,139.127,27.014,1774930527.188425,1774930527.8850894
1,44,0.090608,610.103,0.871,282.075,173.653,138.765,27.041,1774930527.940991,1774930528.5541568
1,45,0.090065,707.479,0.87,316.171,237.381,139.894,27.023,1774930528.6019194,1774930529.3126075
1,46,0.08764,610.818,0.87,279.799,176.538,138.838,27.0,1774930529.3638303,1774930529.9785125
1,47,0.082959,604.937,0.869,278.686,169.841,139.0,27.026,1774930530.0389955,1774930530.6473277
1,48,0.082089,609.75,0.867,278.091,177.182,138.906,26.992,1774930530.7032154,1774930531.3160894
1,49,0.079931,576.634,0.864,269.935,152.212,139.18,27.017,1774930531.373254,1774930531.9530585
1,50,0.078753,755.252,0.869,331.798,269.182,138.968,27.011,1774930532.0666273,1774930532.825641
1,51,0.076474,695.22,0.871,311.923,229.615,138.891,26.998,1774930532.875669,1774930533.5742683
1,52,0.073214,691.997,0.878,312.712,226.776,138.538,27.003,1774930533.6346405,1774930534.330293
1,53,0.073887,722.608,0.871,321.018,248.706,138.813,26.998,1774930534.382529,1774930535.1080143
1,54,0.071172,703.114,0.874,316.499,234.685,138.461,27.021,1774930535.161553,1774930535.8672705
1,55,0.071221,676.134,0.861,307.127,216.212,138.686,27.054,1774930535.915305,1774930536.5939937
1,56,0.068189,709.346,0.882,314.986,240.867,138.869,27.03,1774930536.6572895,1774930537.370388
1,57,0.066843,569.138,0.856,265.762,150.606,138.634,26.986,1774930537.427377,1774930537.9991133
1,58,0.065322,789.787,0.866,340.883,295.112,139.241,27.099,1774930538.0482738,1774930538.8417103
1,59,0.063972,681.788,0.86,311.536,217.672,138.953,27.02,1774930538.9344022,1774930539.618899
1,60,0.062063,568.332,0.874,265.623,149.239,138.202,26.995,1774930539.6650538,1774930540.2360249
1,61,0.062171,636.428,0.87,287.133,192.185,138.515,26.998,1774930540.2870967,1774930540.9265957
1,62,0.06074,709.185,0.88,317.907,237.886,139.394,26.985,1774930541.0798228,1774930541.7915907
1,63,0.05928,644.111,0.87,293.234,189.38,138.488,26.989,1774930541.846456,1774930542.4932897
