task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-03-30T23:53:43,vjepa2,715cecfb-03fc-4e63-b1fd-aecfe3b60306,0.3951251935213804,2.2695173547222804e-07,5.748577225475752e-07,360.0,151.66164231786007,10.0,3.9777395874261854e-05,1.6758624518331544e-05,1.104637851110763e-06,5.764065824370416e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #1,2026-03-30T23:53:43,vjepa2,715cecfb-03fc-4e63-b1fd-aecfe3b60306,0.1623567994683981,9.400495022323638e-08,5.799845260021212e-07,360.0,194.73666140418155,10.0,1.5219192765653135e-05,8.233339919172522e-06,4.226194384197393e-07,2.3875152123245388e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #1,2026-03-30T23:53:43,vjepa2,715cecfb-03fc-4e63-b1fd-aecfe3b60306,0.1899314634501934,1.0373873816078382e-07,5.470198898785514e-07,360.0,129.17797616295456,10.0,1.9000764563679695e-05,6.818894341620307e-06,5.276573666681847e-07,2.634731627196818e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #2,2026-03-30T23:53:43,vjepa2,715cecfb-03fc-4e63-b1fd-aecfe3b60306,0.30627616308629513,1.9893582279755012e-07,6.500988572121138e-07,360.0,228.17444811595706,10.0,3.0407125130295755e-05,1.927362653475484e-05,8.44492173443238e-07,5.052524383849385e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #2,2026-03-30T23:53:44,vjepa2,715cecfb-03fc-4e63-b1fd-aecfe3b60306,0.21191919781267643,1.3223234623541798e-07,6.248939179675974e-07,360.0,199.99189966776822,10.0,2.121084202080964e-05,1.178417608826976e-05,5.890365017371045e-07,3.3584054610816516e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #2,2026-03-30T23:53:44,vjepa2,715cecfb-03fc-4e63-b1fd-aecfe3b60306,0.14052200317382812,6.686164845027493e-08,4.770704841652357e-07,360.0,65.76574221330117,10.0,1.4028739184141165e-05,2.563057606153052e-06,3.8956455472442874e-07,1.6981361345018637e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #3,2026-03-30T23:53:44,vjepa2,715cecfb-03fc-4e63-b1fd-aecfe3b60306,0.2910555750131607,1.8166166389754422e-07,6.249014792993769e-07,360.0,206.64394469487354,10.0,2.8803577460348597e-05,1.6534457671468772e-05,7.999591995030646e-07,4.6137994331320456e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #3,2026-03-30T23:53:44,vjepa2,715cecfb-03fc-4e63-b1fd-aecfe3b60306,0.17758674547076225,1.1403178692148036e-07,6.433047779747408e-07,360.0,221.915590424779,10.0,1.761349998414516e-05,1.0858897574905768e-05,4.891225861178508e-07,2.896152014516878e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #3,2026-03-30T23:53:44,vjepa2,715cecfb-03fc-4e63-b1fd-aecfe3b60306,0.13792629912495613,6.982011879456019e-08,5.074124210431427e-07,360.0,97.01909536058793,10.0,1.366902273148299e-05,3.6841696129386037e-06,3.7955421333511627e-07,1.7732746557756708e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #4,2026-03-30T23:53:45,vjepa2,715cecfb-03fc-4e63-b1fd-aecfe3b60306,0.316955741494894,1.9720191479996137e-07,6.227599007527411e-07,360.0,204.79330040775778,10.0,3.1368357688188545e-05,1.7845292056506423e-05,8.712202931443853e-07,5.00848700378394e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
