task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-03-30T23:53:43,vjepa2,36dc44f4-41d9-41e9-95a4-0cb1c3eec53b,0.7674647867679596,4.3566379371690917e-07,5.674178030370663e-07,360.0,149.29170917055743,10.0,7.670728173106908e-05,3.1810858779124374e-05,2.1307064375529687e-06,0.00011064884694774642,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #2,2026-03-30T23:53:44,vjepa2,36dc44f4-41d9-41e9-95a4-0cb1c3eec53b,0.6708708200603724,4.087059887485139e-07,6.089323491649088e-07,360.0,186.69875499079905,10.0,6.712537072598934e-05,3.481225007107014e-05,1.864547406633695e-06,0.00010380216820369317,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #3,2026-03-30T23:53:44,vjepa2,36dc44f4-41d9-41e9-95a4-0cb1c3eec53b,0.6145963221788406,3.7123534829322284e-07,6.037322840396859e-07,360.0,181.91529630470137,10.0,6.149966474622488e-05,3.1077524859313144e-05,1.7082750745531585e-06,9.428546468009114e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #4,2026-03-30T23:53:45,vjepa2,36dc44f4-41d9-41e9-95a4-0cb1c3eec53b,0.6860881671309471,4.283569131604099e-07,6.240824556651172e-07,360.0,200.01724226924424,10.0,6.87089445069432e-05,3.817558609853222e-05,1.9085323179347642e-06,0.00010879306292341018,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #5,2026-03-30T23:53:46,vjepa2,36dc44f4-41d9-41e9-95a4-0cb1c3eec53b,0.7111869268119335,4.38938137076945e-07,6.169434003587427e-07,360.0,193.5409168267658,10.0,7.121533527970316e-05,3.8286975076573526e-05,1.978146476257178e-06,0.00011148045683253383,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #6,2026-03-30T23:53:47,vjepa2,36dc44f4-41d9-41e9-95a4-0cb1c3eec53b,0.6103319581598043,3.7719447892012305e-07,6.176885881068091e-07,360.0,176.790224425366,10.0,6.307251844555142e-05,3.0974469225952816e-05,1.7519627335584833e-06,9.579895040506272e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #7,2026-03-30T23:53:47,vjepa2,36dc44f4-41d9-41e9-95a4-0cb1c3eec53b,0.6340669561177492,3.8047731286353936e-07,5.998248134951752e-07,360.0,177.78296626469583,10.0,6.350618712604048e-05,3.136252508539883e-05,1.7640044964436028e-06,9.663271670788285e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #8,2026-03-30T23:53:48,vjepa2,36dc44f4-41d9-41e9-95a4-0cb1c3eec53b,0.683849235996604,4.1419799215046536e-07,6.024541814232696e-07,360.0,180.68405199948793,10.0,6.877036653459072e-05,3.4516416505425696e-05,1.910231034788821e-06,0.00010519701407480514,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #9,2026-03-30T23:53:49,vjepa2,36dc44f4-41d9-41e9-95a4-0cb1c3eec53b,0.6135353539139032,3.730988324742782e-07,6.048325761456563e-07,360.0,182.12584701248065,10.0,6.178474891930814e-05,3.125780278878665e-05,1.7161962214029483e-06,9.475874792949776e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #10,2026-03-30T23:53:49,vjepa2,36dc44f4-41d9-41e9-95a4-0cb1c3eec53b,0.5848526619374752,3.6691204906699884e-07,6.271045644734881e-07,360.0,193.4210961120554,10.0,5.9542136639356615e-05,3.199141448106957e-05,1.653892376149696e-06,9.318744349657584e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
