task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-03-30T23:48:23,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.4207314569503069,2.506160051635224e-07,5.960716085342022e-07,360.0,175.6884104891555,10.0,4.199096411466598e-05,2.049362750256023e-05,1.1662611686107185e-06,6.365085278583693e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #1,2026-03-30T23:48:23,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.23303871974349022,1.3132634461795715e-07,5.642934432478591e-07,360.0,146.14390903322968,10.0,2.3263410292565823e-05,9.444451997353553e-06,6.460881998969449e-07,3.335395048981632e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #1,2026-03-30T23:48:24,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.18711885623633862,1.0267437332193228e-07,5.498000844622513e-07,360.0,101.85882245185036,10.0,1.9894890487194057e-05,5.629726729239337e-06,5.523742228332493e-07,2.6076991439266634e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #2,2026-03-30T23:48:24,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.27489490434527397,1.768929061500838e-07,6.441965958135521e-07,360.0,221.0212411261936,10.0,2.7365174330770963e-05,1.6801680104094885e-05,7.599822245538234e-07,4.492683665941968e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #2,2026-03-30T23:48:24,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.15793030336499214,8.139244514501743e-08,5.164378714596489e-07,360.0,106.12689947711608,10.0,1.562978532165289e-05,4.60805924262786e-06,4.3401372515492965e-07,2.067185828943569e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #2,2026-03-30T23:48:24,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.13793021999299526,9.255523882161255e-08,6.726276297140574e-07,360.0,247.14889637192192,10.0,1.3711756654083727e-05,9.41445197355506e-06,3.807492657668061e-07,2.3506957893405588e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #3,2026-03-30T23:48:25,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.2983229458332062,1.9929043609880213e-07,6.689461761354164e-07,360.0,243.12210608824844,10.0,2.9718593694269665e-05,2.0071404946975235e-05,8.253090342299804e-07,5.061530767547489e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #3,2026-03-30T23:48:25,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.20491001568734646,1.251247236526955e-07,6.116124592525483e-07,360.0,188.3400529673785,10.0,2.048958372324704e-05,1.0720286354626296e-05,5.690075715796818e-07,3.1778877649453e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #3,2026-03-30T23:48:25,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.13703378662467003,7.039341539280892e-08,5.14891680480094e-07,360.0,101.67287546189064,10.0,1.3645279407501214e-05,3.854169747796732e-06,3.7890189948181277e-07,1.7878351054779736e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #4,2026-03-30T23:48:25,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.28034505993127823,1.6019713400300585e-07,5.720676427369444e-07,360.0,153.39450100109113,10.0,2.798454519361258e-05,1.1924731765589058e-05,7.772074753625522e-07,4.0686484434564196e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #4,2026-03-30T23:48:25,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.16609869711101055,1.1255400823672603e-07,6.791081249957194e-07,360.0,252.20135411221918,10.0,1.653913613408801e-05,1.1587787042799391e-05,4.5927427709102614e-07,2.8586197453978448e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #4,2026-03-30T23:48:26,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.13696629367768764,7.112866764185251e-08,5.206185309976542e-07,360.0,106.87008876620783,10.0,1.3637513108551516e-05,4.048892130015247e-06,3.786834215538369e-07,1.8065088660120584e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #5,2026-03-30T23:48:26,vjepa2,2314602f-d832-4a0a-a4be-779ee6a69fff,0.2727007959038019,1.7296017182402363e-07,6.3498755998548e-07,360.0,219.7552525490071,10.0,2.681416049599649e-05,1.636917976099994e-05,7.446699568794842e-07,4.3928010213875905e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
